date,ILITOTAL,value_pathogen_RSV_Region_3_Negatives_Value,national_newu_ILITOTAL
2021-05-01,20099.0,962,20099
2021-05-08,19930.0,954,19930
2021-05-15,20367.0,827,20367
2021-05-22,21262.0,904,21262
2021-05-29,19675.0,848,19675
2021-06-05,20143.0,880,20143
2021-06-12,19182.0,873,19182
2021-06-19,19579.0,1126,19579
2021-06-26,19890.0,1032,19890
2021-07-03,20092.0,825,20092
2021-07-10,22371.0,821,22371
2021-07-17,25261.0,839,25261
2021-07-24,30545.0,994,30545
2021-07-31,35195.0,1062,35195
2021-08-07,37756.0,1014,37756
2021-08-14,40067.0,1057,40067
2021-08-21,42721.0,1111,42721
2021-08-28,43058.0,1198,43058
2021-09-04,40864.0,1197,40864
2021-09-11,39421.0,1286,39421
2021-09-18,36193.0,1444,36193
2021-09-25,33976.0,1417,33976
2021-10-02,29949.0,1520,29949
2021-10-09,39535.0,1684,39535
2021-10-16,37638.0,1653,37638
2021-10-23,35714.0,1863,35714
2021-10-30,36639.0,1227,36639
2021-11-06,40030.0,1615,40030
2021-11-13,44163.0,1655,44163
2021-11-20,47076.0,2284,47076
2021-11-27,43324.0,2293,43324
2021-12-04,52729.0,2389,52729
2021-12-11,55069.0,3037,55069
2021-12-18,62545.0,3668,62545
2021-12-25,79225.0,4234,79225
2022-01-01,113862.0,4137,113862
2022-01-08,93262.0,3213,93262
2022-01-15,69183.0,2996,69183
2022-01-22,48498.0,2266,48498
2022-01-29,34810.0,2053,34810
2022-02-05,25831.0,1729,25831
2022-02-12,23731.0,1570,23731
2022-02-19,23946.0,1536,23946
2022-02-26,23609.0,1680,23609
2022-03-05,25801.0,1636,25801
2022-03-12,28077.0,1902,28077
2022-03-19,31359.0,1798,31359
2022-03-26,32423.0,1927,32423
2022-04-02,34822.0,1928,34822
2022-04-09,38144.0,2118,38144
2022-04-16,40966.0,2252,40966
2022-04-23,42086.0,2152,42086
2022-04-30,43420.0,2134,43420
2022-05-07,47799.0,2149,47799
2022-05-14,52025.0,2312,52025
2022-05-21,54081.0,2354,54081
2022-05-28,52385.0,2208,52385
2022-06-04,51863.0,2195,51863
2022-06-11,45240.0,2136,45240
2022-06-18,40250.0,1667,40250
2022-06-25,37830.0,1679,37830
2022-07-02,34566.0,1266,34566
2022-07-09,34983.0,1941,34983
2022-07-16,33011.0,1857,33011
2022-07-23,32611.0,1780,32611
2022-07-30,32040.0,1670,32040
2022-08-06,29641.0,1654,29641
2022-08-13,28642.0,1601,28642
2022-08-20,31572.0,1491,31572
2022-08-27,35787.0,1577,35787
2022-09-03,37513.0,1604,37513
2022-09-10,38334.0,2059,38334
2022-09-17,39838.0,1853,39838
2022-09-24,44726.0,2018,44726
2022-10-01,46321.0,2097,46321
2022-10-08,57318.0,2286,57318
2022-10-15,63388.0,2484,63388
2022-10-22,75615.0,2694,75615
2022-10-29,109496.0,3244,109496
2022-11-05,139247.0,4070,139247
2022-11-12,140055.0,4434,140055
2022-11-19,137419.0,4493,137419
2022-11-26,164936.0,5036,164936
2022-12-03,185673.0,6061,185673
2022-12-10,167248.0,5653,167248
2022-12-17,151672.0,4335,151672
2022-12-24,129978.0,4585,129978
2022-12-31,112531.0,4529,112531
2023-01-07,92034.0,4514,92034
2023-01-14,67720.0,3764,67720
2023-01-21,57770.0,3616,57770
2023-01-28,58231.0,3660,58231
2023-02-04,59326.0,3221,59326
2023-02-11,62258.0,3147,62258
2023-02-18,59665.0,3122,59665
2023-02-25,57223.0,2768,57223
2023-03-04,55682.0,2752,55682
2023-03-11,54686.0,3208,54686
2023-03-18,54263.0,2853,54263
2023-03-25,55394.0,2485,55394
2023-04-01,53342.0,2359,53342
2023-04-08,48355.0,2149,48355
2023-04-15,46725.0,1997,46725
2023-04-22,44507.0,1550,44507
2023-04-29,44802.0,1506,44802
2023-05-06,45582.0,1525,45582
2023-05-13,45769.0,1959,45769
2023-05-20,43287.0,1867,43287
2023-05-27,41516.0,1662,41516
2023-06-03,41589.0,1548,41589
2023-06-10,36939.0,1506,36939
2023-06-17,33880.0,1150,33880
2023-06-24,30889.0,1030,30889
2023-07-01,28486.0,957,28486
2023-07-08,26648.0,1191,26648
2023-07-15,25903.0,1261,25903
2023-07-22,25802.0,1290,25802
2023-07-29,26417.0,1188,26417
2023-08-05,26896.0,1339,26896
2023-08-12,29313.0,1443,29313
2023-08-19,33663.0,1506,33663
2023-08-26,40979.0,1639,40979
2023-09-02,44411.0,2063,44411
2023-09-09,44734.0,2322,44734
2023-09-16,45287.0,2309,45287
2023-09-23,48265.0,2491,48265
2023-09-30,49269.0,2597,49269
2023-10-07,56312.0,2579,56312
2023-10-14,57524.0,2423,57524
2023-10-21,62503.0,2499,62502
2023-10-28,67635.0,2559,67776
2023-11-04,72231.0,2513,72232
2023-11-11,85459.0,2904,85459
2023-11-18,90948.0,3137,90973
2023-11-25,85524.0,3025,85524
2023-12-02,103712.0,3705,103711
2023-12-09,114141.0,3786,114204
2023-12-16,135998.0,4320,136080
2023-12-23,163265.0,4949,163336
2023-12-30,166750.0,5517,166826
2024-01-06,143938.0,5113,143990
2024-01-13,118459.0,4772,118490
2024-01-20,100098.0,3871,100138
2024-01-27,105571.0,4149,105602
2024-02-03,107922.0,4104,107954
2024-02-10,112968.0,4078,112994
2024-02-17,108366.0,4029,108419
2024-02-24,107566.0,4122,107612
2024-03-02,104864.0,4009,104896
2024-03-09,94742.0,3775,94848
2024-03-16,84963.0,3438,84989
2024-03-23,78618.0,3322,78701
2024-03-30,73845.0,3183,73910
2024-04-06,68526.0,3081,68554
2024-04-13,64449.0,2654,64523
2024-04-20,57522.0,2431,57575
2024-04-27,55413.0,2403,55439
2024-05-04,53519.0,2179,53529
2024-05-11,50457.0,2324,50464
2024-05-18,49254.0,1989,49411
2024-05-25,47562.0,1887,47587
2024-06-01,44766.0,1843,44771
2024-06-08,41248.0,1760,41255
2024-06-15,37720.0,1715,37749
2024-06-22,35781.0,1570,35810
2024-06-29,35208.0,1609,35236
2024-07-06,32093.0,1686,32132
2024-07-13,34982.0,1829,35017
2024-07-20,33474.0,1851,33504
2024-07-27,34749.0,1918,34828
2024-08-03,34935.0,2119,35020
2024-08-10,34912.0,2445,35090
2024-08-17,35347.0,2759,37059
