date,ILITOTAL,NUM. OF PROVIDERS,OT
2004-02-02 00:00:00,4251,1054,295646
2004-02-09 00:00:00,3824,986,288762
2004-02-16 00:00:00,3691,1004,282347
2004-02-23 00:00:00,2916,948,281202
2004-03-01 00:00:00,2744,894,271597
2004-03-08 00:00:00,2708,897,257294
2004-03-15 00:00:00,2487,849,243802
2004-03-22 00:00:00,2300,859,248805
2004-03-29 00:00:00,1858,828,234998
2004-04-05 00:00:00,1705,774,212432
2004-04-12 00:00:00,1749,755,209178
2004-04-19 00:00:00,1615,679,203802
2004-04-26 00:00:00,1331,658,194708
2004-05-03 00:00:00,1394,629,184038
2004-05-10 00:00:00,1327,599,168276
2004-05-17 00:00:00,1262,553,155386
2004-05-24 00:00:00,1070,463,133008
2004-05-31 00:00:00,1061,452,120884
2004-06-07 00:00:00,987,443,133117
2004-06-14 00:00:00,851,426,128740
2004-06-21 00:00:00,887,423,124037
2004-06-28 00:00:00,698,408,124146
2004-07-05 00:00:00,710,381,90238
2004-07-12 00:00:00,836,378,97135
2004-07-19 00:00:00,659,370,95515
2004-07-26 00:00:00,719,363,92216
2004-08-02 00:00:00,733,345,116693
2004-08-09 00:00:00,809,334,89644
2004-08-16 00:00:00,770,335,95481
2004-08-23 00:00:00,799,333,91326
2004-08-30 00:00:00,960,326,96656
2004-09-06 00:00:00,913,337,104207
2004-09-13 00:00:00,1122,341,118343
2004-09-20 00:00:00,1089,336,117483
2004-09-27 00:00:00,1116,364,114857
2004-10-04 00:00:00,3171,1176,353449
2004-10-11 00:00:00,3631,1187,355116
2004-10-18 00:00:00,4019,1267,378094
2004-10-25 00:00:00,4369,1293,380921
2004-11-01 00:00:00,4551,1302,377692
2004-11-08 00:00:00,4969,1344,380718
2004-11-15 00:00:00,4983,1336,387182
2004-11-22 00:00:00,4713,1341,295546
2004-11-29 00:00:00,5407,1369,387004
2004-12-06 00:00:00,5428,1346,374356
2004-12-13 00:00:00,5755,1379,355806
2004-12-20 00:00:00,5689,1288,259639
2004-12-27 00:00:00,7279,1332,283617
2005-01-03 00:00:00,8041,1383,369455
2005-01-10 00:00:00,8323,1342,378024
2005-01-17 00:00:00,9328,1348,368678
2005-01-24 00:00:00,12422,1334,405254
2005-01-31 00:00:00,16192,1303,406772
2005-02-07 00:00:00,19369,1324,421461
2005-02-14 00:00:00,19931,1330,419426
2005-02-21 00:00:00,16630,1280,397883
2005-02-28 00:00:00,13234,1268,383196
2005-03-07 00:00:00,11601,1227,367292
2005-03-14 00:00:00,9502,1185,355454
2005-03-21 00:00:00,7900,1148,335940
2005-03-28 00:00:00,6329,1103,334438
2005-04-04 00:00:00,4816,1048,315823
2005-04-11 00:00:00,4445,1000,314948
2005-04-18 00:00:00,3825,978,305833
2005-04-25 00:00:00,3646,971,302065
2005-05-02 00:00:00,2990,923,277120
2005-05-09 00:00:00,3012,878,263009
2005-05-16 00:00:00,2531,825,238494
2005-05-23 00:00:00,2056,687,194550
2005-05-30 00:00:00,2099,637,167661
2005-06-06 00:00:00,1744,603,171960
2005-06-13 00:00:00,1614,582,154899
2005-06-20 00:00:00,1628,587,170645
2005-06-27 00:00:00,1359,550,160216
2005-07-04 00:00:00,1198,533,142302
2005-07-11 00:00:00,1148,524,157068
2005-07-18 00:00:00,1068,507,149699
2005-07-25 00:00:00,990,492,147612
2005-08-01 00:00:00,982,488,142468
2005-08-08 00:00:00,1023,479,145121
2005-08-15 00:00:00,928,480,150673
2005-08-22 00:00:00,922,428,151290
2005-08-29 00:00:00,1033,420,151854
2005-09-05 00:00:00,1061,416,136817
2005-09-12 00:00:00,1026,408,150127
2005-09-19 00:00:00,1219,419,156067
2005-09-26 00:00:00,1204,447,149205
2005-10-03 00:00:00,3586,1113,333164
2005-10-10 00:00:00,3582,1160,338343
2005-10-17 00:00:00,4122,1216,369609
2005-10-24 00:00:00,4248,1237,377999
2005-10-31 00:00:00,5005,1280,398840
2005-11-07 00:00:00,5038,1272,376924
2005-11-14 00:00:00,5276,1277,382697
2005-11-21 00:00:00,4802,1301,298578
2005-11-28 00:00:00,5966,1325,402264
2005-12-05 00:00:00,6371,1328,385248
2005-12-12 00:00:00,7697,1318,383548
2005-12-19 00:00:00,8577,1287,333921
2005-12-26 00:00:00,8842,1273,289638
2006-01-02 00:00:00,8339,1319,343871
2006-01-09 00:00:00,7882,1339,393716
2006-01-16 00:00:00,7858,1297,381699
2006-01-23 00:00:00,9114,1331,411882
2006-01-30 00:00:00,9551,1320,411291
2006-02-06 00:00:00,10427,1311,418286
2006-02-13 00:00:00,11226,1288,401661
2006-02-20 00:00:00,11901,1288,400827
2006-02-27 00:00:00,11343,1275,399459
2006-03-06 00:00:00,11261,1257,405365
2006-03-13 00:00:00,9322,1241,376971
2006-03-20 00:00:00,8064,1217,369804
2006-03-27 00:00:00,7313,1165,362605
2006-04-03 00:00:00,5738,1133,349662
2006-04-10 00:00:00,4547,1087,334760
2006-04-17 00:00:00,3550,1045,310641
2006-04-24 00:00:00,3177,1017,305389
2006-05-01 00:00:00,2780,958,288278
2006-05-08 00:00:00,2592,919,276338
2006-05-15 00:00:00,2428,877,256267
2006-05-22 00:00:00,2061,783,231075
2006-05-29 00:00:00,1645,649,190252
2006-06-05 00:00:00,2075,635,213847
2006-06-12 00:00:00,1430,615,169353
2006-06-19 00:00:00,1300,610,167770
2006-06-26 00:00:00,1271,572,154741
2006-07-03 00:00:00,1215,565,139216
2006-07-10 00:00:00,1617,577,175259
2006-07-17 00:00:00,1553,564,172654
2006-07-24 00:00:00,1455,564,172581
2006-07-31 00:00:00,1428,551,161937
2006-08-07 00:00:00,1373,547,168024
2006-08-14 00:00:00,1457,536,167183
2006-08-21 00:00:00,1138,503,154071
2006-08-28 00:00:00,1224,488,153390
2006-09-04 00:00:00,1463,491,144289
2006-09-11 00:00:00,1406,487,159603
2006-09-18 00:00:00,1487,455,157627
2006-09-25 00:00:00,1433,469,160732
2006-10-02 00:00:00,4513,1323,375076
2006-10-09 00:00:00,4072,1361,384920
2006-10-16 00:00:00,4737,1425,419005
2006-10-23 00:00:00,4888,1445,434287
2006-10-30 00:00:00,5380,1473,445334
2006-11-06 00:00:00,6139,1497,454901
2006-11-13 00:00:00,6668,1474,453945
2006-11-20 00:00:00,6156,1488,336822
2006-11-27 00:00:00,7530,1486,452089
2006-12-04 00:00:00,8122,1493,436741
2006-12-11 00:00:00,10396,1492,435177
2006-12-18 00:00:00,10192,1435,365334
2006-12-25 00:00:00,8913,1359,286087
2007-01-01 00:00:00,8386,1490,369521
2007-01-08 00:00:00,7761,1467,416464
2007-01-15 00:00:00,7909,1470,395477
2007-01-22 00:00:00,10888,1495,446119
2007-01-29 00:00:00,12120,1472,428241
2007-02-05 00:00:00,14197,1484,454533
2007-02-12 00:00:00,14031,1461,429057
2007-02-19 00:00:00,14048,1460,442099
2007-02-26 00:00:00,11801,1428,433281
2007-03-05 00:00:00,10715,1408,428255
2007-03-12 00:00:00,9597,1361,395394
2007-03-19 00:00:00,7562,1333,385735
2007-03-26 00:00:00,6148,1303,386327
2007-04-02 00:00:00,4958,1284,361955
2007-04-09 00:00:00,4869,1240,357183
2007-04-16 00:00:00,4179,1206,356055
2007-04-23 00:00:00,3695,1152,347413
2007-04-30 00:00:00,3077,1119,317311
2007-05-07 00:00:00,2860,1057,296262
2007-05-14 00:00:00,2442,1025,285031
2007-05-21 00:00:00,2243,925,259803
2007-05-28 00:00:00,2058,831,220020
2007-06-04 00:00:00,1679,796,225197
2007-06-11 00:00:00,1614,771,217982
2007-06-18 00:00:00,1456,749,216378
2007-06-25 00:00:00,1455,742,218376
2007-07-02 00:00:00,1169,711,176387
2007-07-09 00:00:00,1086,697,199040
2007-07-16 00:00:00,1211,698,206574
2007-07-23 00:00:00,1356,691,205241
2007-07-30 00:00:00,1037,677,194161
2007-08-06 00:00:00,1172,667,200154
2007-08-13 00:00:00,1283,666,207580
2007-08-20 00:00:00,1448,671,210629
2007-08-27 00:00:00,1526,652,213219
2007-09-03 00:00:00,1554,641,187384
2007-09-10 00:00:00,1694,638,211509
2007-09-17 00:00:00,1913,632,208278
2007-09-24 00:00:00,2228,703,273623
2007-10-01 00:00:00,5641,1373,526227
2007-10-08 00:00:00,6444,1429,529126
2007-10-15 00:00:00,6941,1449,557172
2007-10-22 00:00:00,7434,1477,546680
2007-10-29 00:00:00,7915,1485,547104
2007-11-05 00:00:00,8687,1539,566717
2007-11-12 00:00:00,9104,1516,546284
2007-11-19 00:00:00,8570,1523,433951
2007-11-26 00:00:00,9171,1513,548159
2007-12-03 00:00:00,8436,1487,516263
2007-12-10 00:00:00,8091,1453,463416
2007-12-17 00:00:00,8750,1420,451862
2007-12-24 00:00:00,8902,1426,357646
2007-12-31 00:00:00,9706,1486,430603
2008-01-07 00:00:00,11115,1509,531444
2008-01-14 00:00:00,12197,1511,516966
2008-01-21 00:00:00,17171,1508,516683
2008-01-28 00:00:00,24812,1514,559609
2008-02-04 00:00:00,31896,1526,596692
2008-02-11 00:00:00,31625,1518,583210
2008-02-18 00:00:00,30245,1497,570334
2008-02-25 00:00:00,25027,1453,589626
2008-03-03 00:00:00,20254,1445,558269
2008-03-10 00:00:00,16714,1412,550776
2008-03-17 00:00:00,13040,1395,514205
2008-03-24 00:00:00,10376,1379,504350
2008-03-31 00:00:00,8583,1327,492850
2008-04-07 00:00:00,7045,1318,500881
2008-04-14 00:00:00,6079,1288,479187
2008-04-21 00:00:00,4953,1208,459808
2008-04-28 00:00:00,4224,1147,425187
2008-05-05 00:00:00,4011,1098,440183
2008-05-12 00:00:00,3904,1074,401601
2008-05-19 00:00:00,3646,945,367075
2008-05-26 00:00:00,3803,869,348477
2008-06-02 00:00:00,2933,789,330127
2008-06-09 00:00:00,2906,764,327366
2008-06-16 00:00:00,2842,755,321789
2008-06-23 00:00:00,2534,730,306499
2008-06-30 00:00:00,2405,713,307073
2008-07-07 00:00:00,2431,710,311423
2008-07-14 00:00:00,2319,696,301532
2008-07-21 00:00:00,2166,694,300292
2008-07-28 00:00:00,2289,676,304175
2008-08-04 00:00:00,2220,668,294930
2008-08-11 00:00:00,2368,657,298701
2008-08-18 00:00:00,2237,657,300714
2008-08-25 00:00:00,2429,636,298342
2008-09-01 00:00:00,2461,666,293535
2008-09-08 00:00:00,2788,685,327567
2008-09-15 00:00:00,3735,679,336560
2008-09-22 00:00:00,3400,716,329731
2008-09-29 00:00:00,5687,1435,555999
2008-10-06 00:00:00,5959,1500,578446
2008-10-13 00:00:00,5896,1525,582351
2008-10-20 00:00:00,6485,1527,598473
2008-10-27 00:00:00,6987,1545,599343
2008-11-03 00:00:00,7297,1555,612526
2008-11-10 00:00:00,7667,1555,598635
2008-11-17 00:00:00,7733,1563,608646
2008-11-24 00:00:00,7634,1523,478386
2008-12-01 00:00:00,8708,1551,597052
2008-12-08 00:00:00,8689,1543,579573
2008-12-15 00:00:00,7812,1416,479318
2008-12-22 00:00:00,8706,1484,403876
2008-12-29 00:00:00,8603,1490,425780
2009-01-05 00:00:00,8956,1539,579428
2009-01-12 00:00:00,9289,1512,565631
2009-01-19 00:00:00,11456,1566,582932
2009-01-26 00:00:00,14324,1554,611176
2009-02-02 00:00:00,18268,1580,638613
2009-02-09 00:00:00,21667,1569,648304
2009-02-16 00:00:00,20022,1543,624583
2009-02-23 00:00:00,20450,1544,659573
2009-03-02 00:00:00,18441,1534,623389
2009-03-09 00:00:00,15711,1524,637672
2009-03-16 00:00:00,13277,1494,605503
2009-03-23 00:00:00,11400,1470,608342
2009-03-30 00:00:00,9669,1440,586651
2009-04-06 00:00:00,8460,1422,564460
2009-04-13 00:00:00,7222,1415,558837
2009-04-20 00:00:00,7348,1445,577836
2009-04-27 00:00:00,18627,1405,624734
2009-05-04 00:00:00,14578,1422,598189
2009-05-11 00:00:00,12554,1372,550300
2009-05-18 00:00:00,20774,1331,544432
2009-05-25 00:00:00,22394,1314,531526
2009-06-01 00:00:00,17105,1305,538177
2009-06-08 00:00:00,12392,1296,493761
2009-06-15 00:00:00,10780,1280,521701
2009-06-22 00:00:00,8801,1279,512268
2009-06-29 00:00:00,7422,1237,475877
2009-07-06 00:00:00,6290,1246,480680
2009-07-13 00:00:00,5964,1248,502466
2009-07-20 00:00:00,5735,1248,503971
2009-07-27 00:00:00,5587,1254,485804
2009-08-03 00:00:00,5526,1230,496666
2009-08-10 00:00:00,5877,1234,506019
2009-08-17 00:00:00,8941,1286,544827
2009-08-24 00:00:00,14556,1320,588916
2009-08-31 00:00:00,21350,1358,573972
2009-09-07 00:00:00,22561,1367,571201
2009-09-14 00:00:00,26091,1380,638302
2009-09-21 00:00:00,24454,1313,608464
2009-09-28 00:00:00,27919,1331,606458
2009-10-05 00:00:00,48420,2056,855346
2009-10-12 00:00:00,58196,2134,853912
2009-10-19 00:00:00,69068,2162,906536
2009-10-26 00:00:00,66411,2167,898860
2009-11-02 00:00:00,57017,2197,899425
2009-11-09 00:00:00,42729,2191,864348
2009-11-16 00:00:00,32520,2157,853552
2009-11-23 00:00:00,22508,2146,654101
2009-11-30 00:00:00,21730,2122,814550
2009-12-07 00:00:00,19325,2093,781811
2009-12-14 00:00:00,17081,2014,728401
2009-12-21 00:00:00,14575,1934,536961
2009-12-28 00:00:00,15613,1937,583299
2010-01-04 00:00:00,14299,1996,721138
2010-01-11 00:00:00,14088,2016,770895
2010-01-18 00:00:00,14757,2053,766177
2010-01-25 00:00:00,15122,2026,785580
2010-02-01 00:00:00,16037,1996,767773
2010-02-08 00:00:00,15381,1977,756068
2010-02-15 00:00:00,15065,1954,762208
2010-02-22 00:00:00,16087,1990,806925
2010-03-01 00:00:00,14486,1953,781411
2010-03-08 00:00:00,14354,1946,768702
2010-03-15 00:00:00,12601,1933,741293
2010-03-22 00:00:00,11191,1917,747358
2010-03-29 00:00:00,10359,1875,713863
2010-04-05 00:00:00,8813,1850,730068
2010-04-12 00:00:00,8801,1831,749563
2010-04-19 00:00:00,8362,1765,719580
2010-04-26 00:00:00,8440,1755,720054
2010-05-03 00:00:00,7914,1710,705551
2010-05-10 00:00:00,7697,1664,669414
2010-05-17 00:00:00,7603,1624,670887
2010-05-24 00:00:00,6853,1497,633532
2010-05-31 00:00:00,6595,1421,549773
2010-06-07 00:00:00,5755,1435,604004
2010-06-14 00:00:00,5316,1405,580329
2010-06-21 00:00:00,5334,1384,575664
2010-06-28 00:00:00,4718,1347,542536
2010-07-05 00:00:00,4691,1353,519414
2010-07-12 00:00:00,4234,1284,547187
2010-07-19 00:00:00,3950,1265,531790
2010-07-26 00:00:00,3850,1250,526723
2010-08-02 00:00:00,4077,1241,518121
2010-08-09 00:00:00,4008,1212,525260
2010-08-16 00:00:00,4518,1225,537190
2010-08-23 00:00:00,4420,1235,558382
2010-08-30 00:00:00,5007,1170,548573
2010-09-06 00:00:00,5493,1198,531250
2010-09-13 00:00:00,5510,1210,589930
2010-09-20 00:00:00,6741,1206,623077
2010-09-27 00:00:00,6387,1254,599366
2010-10-04 00:00:00,8473,1838,746485
2010-10-11 00:00:00,9347,1875,746230
2010-10-18 00:00:00,9684,1907,777397
2010-10-25 00:00:00,9904,1929,781234
2010-11-01 00:00:00,11020,1947,766753
2010-11-08 00:00:00,11807,1940,769982
2010-11-15 00:00:00,13336,1921,787038
2010-11-22 00:00:00,12079,1938,606527
2010-11-29 00:00:00,13997,1964,772016
2010-12-06 00:00:00,14958,1936,742606
2010-12-13 00:00:00,18022,1916,704923
2010-12-20 00:00:00,19899,1840,588406
2010-12-27 00:00:00,20346,1887,592880
2011-01-03 00:00:00,20026,1923,744043
2011-01-10 00:00:00,20721,1921,711908
2011-01-17 00:00:00,26257,1964,751850
2011-01-24 00:00:00,31975,1947,798637
2011-01-31 00:00:00,34284,1970,772974
2011-02-07 00:00:00,34456,1961,812230
2011-02-14 00:00:00,36567,1910,831600
2011-02-21 00:00:00,31277,1908,801449
2011-02-28 00:00:00,24627,1860,781629
2011-03-07 00:00:00,20377,1829,747993
2011-03-14 00:00:00,17309,1823,741807
2011-03-21 00:00:00,14031,1790,728883
2011-03-28 00:00:00,12957,1770,739375
2011-04-04 00:00:00,11498,1723,729089
2011-04-11 00:00:00,9391,1681,691707
2011-04-18 00:00:00,8695,1651,662612
2011-04-25 00:00:00,7830,1612,681240
2011-05-02 00:00:00,7307,1585,655627
2011-05-09 00:00:00,7236,1556,651983
2011-05-16 00:00:00,6530,1516,620485
2011-05-23 00:00:00,6072,1381,586460
2011-05-30 00:00:00,5946,1357,531954
2011-06-06 00:00:00,5547,1296,564322
2011-06-13 00:00:00,4989,1279,539238
2011-06-20 00:00:00,4448,1251,532356
2011-06-27 00:00:00,4218,1225,506732
2011-07-04 00:00:00,4009,1211,468565
2011-07-11 00:00:00,3721,1220,526346
2011-07-18 00:00:00,3597,1203,518011
2011-07-25 00:00:00,3538,1179,514262
2011-08-01 00:00:00,3202,1175,496632
2011-08-08 00:00:00,3523,1175,521671
2011-08-15 00:00:00,3874,1191,531975
2011-08-22 00:00:00,4444,1195,551005
2011-08-29 00:00:00,4717,1200,548228
2011-09-05 00:00:00,4813,1184,514168
2011-09-12 00:00:00,5567,1196,575887
2011-09-19 00:00:00,5822,1201,584534
2011-09-26 00:00:00,6708,1213,605162
2011-10-03 00:00:00,9365,1850,778182
2011-10-10 00:00:00,9803,1883,791987
2011-10-17 00:00:00,9958,1905,794995
2011-10-24 00:00:00,10298,1900,788840
2011-10-31 00:00:00,11396,1925,784334
2011-11-07 00:00:00,11496,1946,797839
2011-11-14 00:00:00,11721,1900,801594
2011-11-21 00:00:00,10377,1918,626731
2011-11-28 00:00:00,11479,1904,782984
2011-12-05 00:00:00,11187,1898,736905
2011-12-12 00:00:00,12137,1872,729258
2011-12-19 00:00:00,11958,1851,645424
2011-12-26 00:00:00,12356,1821,581697
2012-01-02 00:00:00,11992,1891,678631
2012-01-09 00:00:00,11543,1883,747894
2012-01-16 00:00:00,11939,1887,724623
2012-01-23 00:00:00,13209,1891,784244
2012-01-30 00:00:00,14448,1885,775298
2012-02-06 00:00:00,14624,1875,784516
2012-02-13 00:00:00,15929,1884,789193
2012-02-20 00:00:00,16137,1853,767022
2012-02-27 00:00:00,16518,1826,788242
2012-03-05 00:00:00,15763,1816,749198
2012-03-12 00:00:00,17150,1819,747570
2012-03-19 00:00:00,14524,1780,755579
2012-03-26 00:00:00,13017,1753,747079
2012-04-02 00:00:00,11930,1729,711808
2012-04-09 00:00:00,10732,1707,717202
2012-04-16 00:00:00,10123,1699,732480
2012-04-23 00:00:00,9370,1675,726772
2012-04-30 00:00:00,8999,1564,662649
2012-05-07 00:00:00,8576,1546,655492
2012-05-14 00:00:00,8062,1503,636347
2012-05-21 00:00:00,7878,1415,616765
2012-05-28 00:00:00,7153,1409,550614
2012-06-04 00:00:00,6765,1365,581700
2012-06-11 00:00:00,6133,1289,564670
2012-06-18 00:00:00,6048,1295,572296
2012-06-25 00:00:00,5786,1260,536380
2012-07-02 00:00:00,5291,1271,505533
2012-07-09 00:00:00,5185,1240,558637
2012-07-16 00:00:00,4931,1223,546713
2012-07-23 00:00:00,5103,1250,557488
2012-07-30 00:00:00,5159,1240,541600
2012-08-06 00:00:00,5026,1248,548294
2012-08-13 00:00:00,5051,1238,560110
2012-08-20 00:00:00,6141,1238,594395
2012-08-27 00:00:00,6318,1238,600354
2012-09-03 00:00:00,6296,1242,558585
2012-09-10 00:00:00,7382,1252,622114
2012-09-17 00:00:00,7656,1268,630563
2012-09-24 00:00:00,7807,1248,623572
2012-10-01 00:00:00,9395,1932,779285
2012-10-08 00:00:00,10158,1940,769959
2012-10-15 00:00:00,10585,1968,797444
2012-10-22 00:00:00,10913,1958,798388
2012-10-29 00:00:00,11061,1929,734781
2012-11-05 00:00:00,12674,1974,785871
2012-11-12 00:00:00,13623,1966,777534
2012-11-19 00:00:00,14650,1968,627772
2012-11-26 00:00:00,18521,2006,831730
2012-12-03 00:00:00,24877,2006,835762
2012-12-10 00:00:00,29432,1977,811800
2012-12-17 00:00:00,34332,1908,754019
2012-12-24 00:00:00,36588,1905,607171
2012-12-31 00:00:00,34103,1982,687051
2013-01-07 00:00:00,39896,1995,850531
2013-01-14 00:00:00,39441,2008,838326
2013-01-21 00:00:00,32426,1978,778610
2013-01-28 00:00:00,29808,1963,806640
2013-02-04 00:00:00,24987,1931,772086
2013-02-11 00:00:00,22321,1926,771229
2013-02-18 00:00:00,20519,1940,755092
2013-02-25 00:00:00,19231,1893,762238
2013-03-04 00:00:00,18829,1884,737736
2013-03-11 00:00:00,17392,1846,715059
2013-03-18 00:00:00,15254,1825,723449
2013-03-25 00:00:00,13714,1811,704276
2013-04-01 00:00:00,12273,1769,701881
2013-04-08 00:00:00,10818,1742,722583
2013-04-15 00:00:00,9188,1732,694415
2013-04-22 00:00:00,8589,1711,700300
2013-04-29 00:00:00,7986,1675,667648
2013-05-06 00:00:00,7704,1630,647130
2013-05-13 00:00:00,7317,1582,623114
2013-05-20 00:00:00,6589,1489,581338
2013-05-27 00:00:00,6190,1486,541528
2013-06-03 00:00:00,5638,1421,558875
2013-06-10 00:00:00,5539,1419,541138
2013-06-17 00:00:00,5474,1405,546643
2013-06-24 00:00:00,4915,1389,540408
2013-07-01 00:00:00,4506,1357,474295
2013-07-08 00:00:00,4510,1362,543833
2013-07-15 00:00:00,4186,1341,521874
2013-07-22 00:00:00,4233,1325,524969
2013-07-29 00:00:00,3886,1290,487617
2013-08-05 00:00:00,4075,1299,523015
2013-08-12 00:00:00,4168,1276,522533
2013-08-19 00:00:00,4317,1265,522965
2013-08-26 00:00:00,5053,1260,540157
2013-09-02 00:00:00,5626,1317,539175
2013-09-09 00:00:00,6374,1307,584196
2013-09-16 00:00:00,7110,1290,591969
2013-09-23 00:00:00,7963,1364,631088
2013-09-30 00:00:00,9677,1960,854487
2013-10-07 00:00:00,10420,1990,860298
2013-10-14 00:00:00,10658,2018,848016
2013-10-21 00:00:00,12036,2027,877917
2013-10-28 00:00:00,12502,2028,874537
2013-11-04 00:00:00,13498,2017,878845
2013-11-11 00:00:00,13927,2054,868987
2013-11-18 00:00:00,15168,2012,875411
2013-11-25 00:00:00,13975,2042,665926
2013-12-02 00:00:00,18920,2055,854664
2013-12-09 00:00:00,19398,2054,802651
2013-12-16 00:00:00,24697,2009,814891
2013-12-23 00:00:00,26988,2007,615148
2013-12-30 00:00:00,28654,2033,680424
2014-01-06 00:00:00,28147,2059,812343
2014-01-13 00:00:00,28370,2049,855297
2014-01-20 00:00:00,25502,2062,786928
2014-01-27 00:00:00,23484,2051,813726
2014-02-03 00:00:00,21085,2051,804244
2014-02-10 00:00:00,18195,2018,777340
2014-02-17 00:00:00,17234,2025,812700
2014-02-24 00:00:00,15914,1978,832786
2014-03-03 00:00:00,15044,1944,790831
2014-03-10 00:00:00,14024,1904,794024
2014-03-17 00:00:00,14926,1922,803374
2014-03-24 00:00:00,14661,1887,805133
2014-03-31 00:00:00,14637,1866,797863
2014-04-07 00:00:00,14206,1845,809707
2014-04-14 00:00:00,11723,1810,773101
2014-04-21 00:00:00,10814,1771,770592
2014-04-28 00:00:00,9648,1746,766139
2014-05-05 00:00:00,9775,1714,737834
2014-05-12 00:00:00,9033,1660,708049
2014-05-19 00:00:00,8797,1570,679395
2014-05-26 00:00:00,7658,1554,624582
2014-06-02 00:00:00,7229,1461,631143
2014-06-09 00:00:00,6783,1461,635233
2014-06-16 00:00:00,6369,1392,593740
2014-06-23 00:00:00,6038,1411,596063
2014-06-30 00:00:00,5352,1388,538049
2014-07-07 00:00:00,5295,1394,601116
2014-07-14 00:00:00,5083,1376,592305
2014-07-21 00:00:00,4765,1372,591814
2014-07-28 00:00:00,4942,1378,603580
2014-08-04 00:00:00,4744,1382,605307
2014-08-11 00:00:00,4980,1369,586778
2014-08-18 00:00:00,5305,1371,635980
2014-08-25 00:00:00,5799,1353,640080
2014-09-01 00:00:00,6050,1352,578913
2014-09-08 00:00:00,8130,1401,695966
2014-09-15 00:00:00,8888,1405,696282
2014-09-22 00:00:00,8874,1407,683887
2014-09-29 00:00:00,10150,1937,841540
2014-10-06 00:00:00,10977,1960,828544
2014-10-13 00:00:00,11941,2000,845727
2014-10-20 00:00:00,12292,2008,862314
2014-10-27 00:00:00,12313,2053,855608
2014-11-03 00:00:00,13853,2058,857601
2014-11-10 00:00:00,14062,1997,844700
2014-11-17 00:00:00,16674,2058,831289
2014-11-24 00:00:00,17602,2067,671251
2014-12-01 00:00:00,22905,2097,878430
2014-12-08 00:00:00,29172,2069,853532
2014-12-15 00:00:00,37382,2016,837119
2014-12-22 00:00:00,40533,1984,662849
2014-12-29 00:00:00,36891,1983,694773
2015-01-05 00:00:00,31483,1958,771835
2015-01-12 00:00:00,31204,1971,792459
2015-01-19 00:00:00,33221,1966,800359
