date,ILITOTAL,value_pathogen_RSV_Region_3_Negatives_Value,value_pathogen_RSV_Region_10_Negatives_Value,value_pathogen_RSV_National_Negatives_Value,value_pathogen_RV_EV_National_Negatives_Value,value_pathogen_RSV_Region_9_Negatives_Value
2020-02-29,74809.0,2194,3795,35973,15567,4453
2020-03-07,78779.0,2210,4969,38242,17133,4554
2020-03-14,89571.0,3425,6301,47610,22530,4828
2020-03-21,78584.0,4257,4416,53078,25700,2884
2020-03-28,53142.0,3195,3560,35341,18287,1757
2020-04-04,36251.0,1712,2277,23275,12589,1116
2020-04-11,24974.0,828,1708,15420,9690,818
2020-04-18,18265.0,621,1142,11703,7771,830
2020-04-25,15164.0,480,1050,10304,7284,730
2020-05-02,12817.0,363,751,8650,7043,536
2020-05-09,11066.0,315,682,7426,5632,448
2020-05-16,10480.0,324,615,7066,5429,439
2020-05-23,11735.0,405,496,6609,5362,436
2020-05-30,9614.0,310,400,5731,4655,337
2020-06-06,9325.0,314,393,5744,4790,365
2020-06-13,9580.0,344,334,5664,4640,374
2020-06-20,11866.0,280,350,5620,4710,249
2020-06-27,15499.0,297,281,5570,4644,273
2020-07-04,17843.0,340,318,6655,5567,323
2020-07-11,20046.0,370,330,7569,6186,375
2020-07-18,19260.0,333,308,7965,6540,346
2020-07-25,16533.0,394,215,7763,6344,333
2020-08-01,15524.0,323,218,7324,6023,285
2020-08-08,14117.0,345,181,6110,4529,328
2020-08-15,13193.0,380,231,6823,5093,287
2020-08-22,12952.0,329,286,6799,4984,319
2020-08-29,13159.0,341,240,6794,4925,326
2020-09-05,12316.0,393,210,7055,5339,603
2020-09-12,13035.0,404,234,7542,5242,579
2020-09-19,13049.0,474,357,8358,5609,746
2020-09-26,14586.0,520,387,9330,6000,699
2020-10-03,16466.0,677,570,10507,6416,745
2020-10-10,19144.0,653,775,12249,7460,861
2020-10-17,17235.0,635,791,12493,7488,987
2020-10-24,18133.0,683,903,13632,8757,1153
2020-10-31,18554.0,716,993,14991,9613,1265
2020-11-07,21370.0,782,1599,17245,10029,665
2020-11-14,22598.0,933,2130,20669,11369,2007
2020-11-21,22709.0,928,2747,23186,12038,2275
2020-11-28,21313.0,973,2612,22115,11249,1980
2020-12-05,22251.0,1124,3018,24712,12268,1596
2020-12-12,22103.0,1234,2741,24019,11629,1929
2020-12-19,20874.0,994,2643,22608,10846,2193
2020-12-26,19836.0,977,2485,21673,9942,1831
2021-01-02,22423.0,1107,2740,22509,9724,1718
2021-01-09,22711.0,1152,2829,24267,11080,1952
2021-01-16,19018.0,1043,2728,23689,10828,1778
2021-01-23,18350.0,1035,2602,23420,10752,1578
2021-01-30,16896.0,979,2748,22782,10646,1618
2021-02-06,16098.0,998,2706,23049,10135,1752
2021-02-13,14079.0,800,1565,21581,9720,1857
2021-02-20,12591.0,773,2272,20424,8865,1818
2021-02-27,13344.0,1009,2304,22040,10068,1854
2021-03-06,13000.0,1051,2150,22276,10125,1927
2021-03-13,14077.0,877,1991,22408,9491,1910
2021-03-20,14574.0,1518,1894,22663,10128,1897
2021-03-27,15354.0,1449,2101,23697,10627,1880
2021-04-03,15993.0,1975,2024,23623,10353,1518
2021-04-10,18100.0,994,2043,23237,10535,1037
2021-04-17,19165.0,1083,2175,23283,10610,906
2021-04-24,19305.0,978,2373,22410,10872,897
2021-05-01,20099.0,962,2190,22440,10644,908
2021-05-08,19930.0,954,2177,21224,10536,862
2021-05-15,20367.0,827,2212,19838,9997,596
2021-05-22,21262.0,904,2024,18884,10107,574
2021-05-29,19675.0,848,1650,16894,10232,543
2021-06-05,20143.0,880,1857,16059,9486,564
2021-06-12,19182.0,873,1666,16161,9699,521
2021-06-19,19579.0,1126,1696,16936,10279,932
2021-06-26,19890.0,1032,1654,15714,9856,558
2021-07-03,20092.0,825,1003,14816,9491,540
2021-07-10,22371.0,821,1663,19015,10788,1224
2021-07-17,25261.0,839,1711,20272,11198,1379
2021-07-24,30545.0,994,1890,20299,15790,633
2021-07-31,35195.0,1062,2249,20842,13002,815
2021-08-07,37756.0,1014,2546,21870,13750,1797
2021-08-14,40067.0,1057,2601,23661,13853,1572
2021-08-21,42721.0,1111,2774,23293,13950,1736
2021-08-28,43058.0,1198,2625,27579,15809,1911
2021-09-04,40864.0,1197,2664,27299,15337,1621
2021-09-11,39421.0,1286,2646,28476,14580,1545
2021-09-18,36193.0,1444,2988,30911,15315,1564
2021-09-25,33976.0,1417,3309,30400,14847,1637
2021-10-02,29949.0,1520,3185,32157,15279,1734
2021-10-09,39535.0,1684,3321,33431,15942,2083
2021-10-16,37638.0,1653,3977,33382,15145,2482
2021-10-23,35714.0,1863,3823,35591,15916,2672
2021-10-30,36639.0,1227,3761,37971,15229,5741
2021-11-06,40030.0,1615,3724,42251,15475,5902
2021-11-13,44163.0,1655,3947,45754,16677,5829
2021-11-20,47076.0,2284,3823,53576,16675,5308
2021-11-27,43324.0,2293,3976,54654,15845,5635
2021-12-04,52729.0,2389,4714,60097,19232,6701
2021-12-11,55069.0,3037,4711,70931,19584,6843
2021-12-18,62545.0,3668,3926,81501,19766,6931
2021-12-25,79225.0,4234,5633,91366,21149,6999
2022-01-01,113862.0,4137,6534,97992,25789,6038
2022-01-08,93262.0,3213,7707,101950,27843,13108
2022-01-15,69183.0,2996,6492,86529,24880,10902
2022-01-22,48498.0,2266,5164,67025,19610,8288
2022-01-29,34810.0,2053,5176,54289,16261,6063
2022-02-05,25831.0,1729,3787,47814,13411,5183
2022-02-12,23731.0,1570,2827,44175,12788,4265
2022-02-19,23946.0,1536,2747,43120,11250,4046
2022-02-26,23609.0,1680,2584,41249,10820,4068
2022-03-05,25801.0,1636,3291,40715,10910,4133
2022-03-12,28077.0,1902,3128,43329,11132,4131
2022-03-19,31359.0,1798,3092,43684,11472,4458
2022-03-26,32423.0,1927,3498,44412,11577,4578
2022-04-02,34822.0,1928,3580,44699,12567,4569
2022-04-09,38144.0,2118,3514,48198,12459,4995
2022-04-16,40966.0,2252,3783,49314,12059,4859
2022-04-23,42086.0,2152,3268,49461,12476,5287
2022-04-30,43420.0,2134,3599,53065,12816,5905
2022-05-07,47799.0,2149,3979,54785,13220,6440
2022-05-14,52025.0,2312,4371,59823,13971,7526
2022-05-21,54081.0,2354,4330,60414,14273,8519
2022-05-28,52385.0,2208,4385,60311,14640,9300
2022-06-04,51863.0,2195,4196,55777,14057,9149
2022-06-11,45240.0,2136,5286,55149,13747,8610
2022-06-18,40250.0,1667,3842,47846,13403,7170
2022-06-25,37830.0,1679,3765,45944,12090,6551
2022-07-02,34566.0,1266,3119,42282,10782,6432
2022-07-09,34983.0,1941,3581,46665,12675,6936
2022-07-16,33011.0,1857,3213,47082,12590,6611
2022-07-23,32611.0,1780,3158,47916,12796,6031
2022-07-30,32040.0,1670,3212,44176,12422,5816
2022-08-06,29641.0,1654,2715,43482,11888,5511
2022-08-13,28642.0,1601,3077,41171,12276,5442
2022-08-20,31572.0,1491,2927,42473,11495,5881
2022-08-27,35787.0,1577,1902,44316,11713,6510
2022-09-03,37513.0,1604,2446,46583,11745,6547
2022-09-10,38334.0,2059,2503,46537,12243,6404
2022-09-17,39838.0,1853,2873,47633,12303,6555
2022-09-24,44726.0,2018,3454,50581,13139,7432
2022-10-01,46321.0,2097,4302,48929,13401,8054
2022-10-08,57318.0,2286,4108,49705,14198,8161
2022-10-15,63388.0,2484,4256,53360,15073,9426
2022-10-22,75615.0,2694,4923,58307,16538,10289
2022-10-29,109496.0,3244,5438,68135,18978,13591
2022-11-05,139247.0,4070,6295,79637,20647,14836
2022-11-12,140055.0,4434,5847,85395,22913,18715
2022-11-19,137419.0,4493,8771,98225,23706,21130
2022-11-26,164936.0,5036,9016,103669,22999,19241
2022-12-03,185673.0,6061,12677,127878,26039,24103
2022-12-10,167248.0,5653,11707,127128,24458,23563
2022-12-17,151672.0,4335,10176,123193,23168,21442
2022-12-24,129978.0,4585,7927,105394,19809,19369
2022-12-31,112531.0,4529,9623,99606,19374,16967
2023-01-07,92034.0,4514,8227,88306,18760,13385
2023-01-14,67720.0,3764,6355,78682,17136,12112
2023-01-21,57770.0,3616,5568,72270,15284,10699
2023-01-28,58231.0,3660,5721,72850,15121,11150
2023-02-04,59326.0,3221,6726,71364,15171,11065
2023-02-11,62258.0,3147,7063,72376,15621,11435
2023-02-18,59665.0,3122,6805,68953,15944,10913
2023-02-25,57223.0,2768,5984,66781,15245,10952
2023-03-04,55682.0,2752,5943,64809,15473,10507
2023-03-11,54686.0,3208,5819,62905,15397,9555
2023-03-18,54263.0,2853,6012,61780,15702,10202
2023-03-25,55394.0,2485,5781,60912,15792,9754
2023-04-01,53342.0,2359,5515,57813,15012,9390
2023-04-08,48355.0,2149,4839,55868,14552,9396
2023-04-15,46725.0,1997,4477,46562,14239,2966
2023-04-22,44507.0,1550,4302,42807,13405,3084
2023-04-29,44802.0,1506,3895,40903,13084,2887
2023-05-06,45582.0,1525,4049,38881,12422,2792
2023-05-13,45769.0,1959,3719,38086,12267,2670
2023-05-20,43287.0,1867,3855,37452,12545,2750
2023-05-27,41516.0,1662,3556,34033,11595,2645
2023-06-03,41589.0,1548,3539,33070,11513,2643
2023-06-10,36939.0,1506,2700,30407,11583,2540
2023-06-17,33880.0,1150,2834,27679,9362,2362
2023-06-24,30889.0,1030,2660,25643,9905,2257
2023-07-01,28486.0,957,2639,23268,9452,2059
2023-07-08,26648.0,1191,2495,27264,9710,2451
2023-07-15,25903.0,1261,2620,25114,9903,2435
2023-07-22,25802.0,1290,2704,25019,9939,2355
2023-07-29,26417.0,1188,2632,25845,10354,2366
2023-08-05,26896.0,1339,2821,27167,10556,2429
2023-08-12,29313.0,1443,2834,29029,10296,2715
2023-08-19,33663.0,1506,2913,32238,11212,2977
2023-08-26,40979.0,1639,3036,37944,11608,3138
2023-09-02,44411.0,2063,3300,41350,11853,3707
2023-09-09,44734.0,2322,3580,44475,12370,3333
2023-09-16,45287.0,2309,4262,47621,12460,3479
2023-09-23,48265.0,2491,4935,51434,13014,3568
2023-09-30,49269.0,2597,5579,52011,13487,3476
2023-10-07,56312.0,2579,5724,51383,13510,3439
2023-10-14,57524.0,2423,5767,51800,14111,3561
2023-10-21,62503.0,2499,5721,53570,14792,3871
2023-10-28,67635.0,2559,5636,54424,14961,4083
2023-11-04,72231.0,2513,5664,59120,15173,9259
2023-11-11,85459.0,2904,5868,70092,16472,14557
2023-11-18,90948.0,3137,7104,75909,17981,16142
2023-11-25,85524.0,3025,7105,72907,17816,14841
2023-12-02,103712.0,3705,8258,90485,20846,19931
2023-12-09,114141.0,3786,8305,96601,22254,21047
2023-12-16,135998.0,4320,8320,106676,22820,23736
2023-12-23,163265.0,4949,9129,118612,24008,27837
2023-12-30,166750.0,5517,8930,119930,23860,26177
2024-01-06,143938.0,5113,10120,114020,23764,25149
2024-01-13,118459.0,4772,9412,105752,23653,23181
2024-01-20,100098.0,3871,8518,94163,21628,21310
2024-01-27,105571.0,4149,8138,94868,21395,20948
2024-02-03,107922.0,4104,7848,99634,22185,19991
2024-02-10,112968.0,4078,7683,99809,21496,17419
2024-02-17,108366.0,4029,7525,97520,20484,19367
2024-02-24,107566.0,4122,7751,97957,20765,18300
2024-03-02,104864.0,4009,7560,93461,20133,16480
2024-03-09,94742.0,3775,7111,89810,20188,17012
2024-03-16,84963.0,3438,7410,83177,18768,16589
2024-03-23,78618.0,3322,7115,77293,16889,15675
2024-03-30,73845.0,3183,6673,73810,16517,14787
2024-04-06,68526.0,3081,6324,72006,16970,14233
2024-04-13,64449.0,2654,5684,68704,16271,14969
2024-04-20,57522.0,2431,5773,63860,15275,14017
2024-04-27,55413.0,2403,5737,60784,14886,13142
2024-05-04,53519.0,2179,5541,53505,14413,8352
2024-05-11,50457.0,2324,5232,47709,14352,3826
2024-05-18,49254.0,1989,5410,45521,14452,3547
2024-05-25,47562.0,1887,5661,44457,14440,3726
2024-06-01,44766.0,1843,4865,39944,13381,3616
2024-06-08,41248.0,1760,4768,38646,13336,3578
2024-06-15,37720.0,1715,4872,37304,13218,3812
2024-06-22,35781.0,1570,4363,35287,13151,3395
2024-06-29,35208.0,1609,3867,33810,12552,2223
2024-07-06,32093.0,1686,3498,32915,12746,2779
2024-07-13,34982.0,1829,3797,35819,13346,2982
2024-07-20,33474.0,1851,3585,36224,13140,2991
2024-07-27,34749.0,1918,3710,38215,13831,2755
2024-08-03,34935.0,2119,3797,38600,13280,2817
2024-08-10,34912.0,2445,3391,39820,13700,2934
2024-08-17,35347.0,2759,3658,43273,14403,2923
