date,ILITOTAL,value_pathogen_RSV_Region_3_Negatives_Value,value_pathogen_RSV_Region_10_Negatives_Value,value_pathogen_RSV_National_Negatives_Value
2023-10-21,62503.0,2499,5721,53570
2023-10-28,67635.0,2559,5636,54424
2023-11-04,72231.0,2513,5664,59120
2023-11-11,85459.0,2904,5868,70092
2023-11-18,90948.0,3137,7104,75909
2023-11-25,85524.0,3025,7105,72907
2023-12-02,103712.0,3705,8258,90485
2023-12-09,114141.0,3786,8305,96601
2023-12-16,135998.0,4320,8320,106676
2023-12-23,163265.0,4949,9129,118612
2023-12-30,166750.0,5517,8930,119930
2024-01-06,143938.0,5113,10120,114020
2024-01-13,118459.0,4772,9412,105752
2024-01-20,100098.0,3871,8518,94163
2024-01-27,105571.0,4149,8138,94868
2024-02-03,107922.0,4104,7848,99634
2024-02-10,112968.0,4078,7683,99809
2024-02-17,108366.0,4029,7525,97520
2024-02-24,107566.0,4122,7751,97957
2024-03-02,104864.0,4009,7560,93461
2024-03-09,94742.0,3775,7111,89810
2024-03-16,84963.0,3438,7410,83177
2024-03-23,78618.0,3322,7115,77293
2024-03-30,73845.0,3183,6673,73810
2024-04-06,68526.0,3081,6324,72006
2024-04-13,64449.0,2654,5684,68704
2024-04-20,57522.0,2431,5773,63860
2024-04-27,55413.0,2403,5737,60784
2024-05-04,53519.0,2179,5541,53505
2024-05-11,50457.0,2324,5232,47709
2024-05-18,49254.0,1989,5410,45521
2024-05-25,47562.0,1887,5661,44457
2024-06-01,44766.0,1843,4865,39944
2024-06-08,41248.0,1760,4768,38646
2024-06-15,37720.0,1715,4872,37304
2024-06-22,35781.0,1570,4363,35287
2024-06-29,35208.0,1609,3867,33810
2024-07-06,32093.0,1686,3498,32915
2024-07-13,34982.0,1829,3797,35819
2024-07-20,33474.0,1851,3585,36224
2024-07-27,34749.0,1918,3710,38215
2024-08-03,34935.0,2119,3797,38600
2024-08-10,34912.0,2445,3391,39820
2024-08-17,35347.0,2759,3658,43273
