date,ILITOTAL,value_pathogen_RSV_Region_3_Negatives_Value,national_newu_ILITOTAL,colorado_new_ILITOTAL,new_mexico_new_ILITOTAL
2021-09-11,39421.0,1286,39421,872,616
2021-09-18,36193.0,1444,36193,870,473
2021-09-25,33976.0,1417,33976,794,496
2021-10-02,29949.0,1520,29949,851,541
2021-10-09,39535.0,1684,39535,1012,559
2021-10-16,37638.0,1653,37638,1021,558
2021-10-23,35714.0,1863,35714,917,634
2021-10-30,36639.0,1227,36639,945,665
2021-11-06,40030.0,1615,40030,1056,842
2021-11-13,44163.0,1655,44163,1112,958
2021-11-20,47076.0,2284,47076,1123,887
2021-11-27,43324.0,2293,43324,887,865
2021-12-04,52729.0,2389,52729,1120,1205
2021-12-11,55069.0,3037,55069,1134,962
2021-12-18,62545.0,3668,62545,1226,912
2021-12-25,79225.0,4234,79225,1224,967
2022-01-01,113862.0,4137,113862,1636,1396
2022-01-08,93262.0,3213,93262,1535,1843
2022-01-15,69183.0,2996,69183,1088,1723
2022-01-22,48498.0,2266,48498,862,1311
2022-01-29,34810.0,2053,34810,622,947
2022-02-05,25831.0,1729,25831,500,547
2022-02-12,23731.0,1570,23731,459,414
2022-02-19,23946.0,1536,23946,539,251
2022-02-26,23609.0,1680,23609,580,399
2022-03-05,25801.0,1636,25801,811,475
2022-03-12,28077.0,1902,28077,929,541
2022-03-19,31359.0,1798,31359,1126,639
2022-03-26,32423.0,1927,32423,1199,743
2022-04-02,34822.0,1928,34822,1231,772
2022-04-09,38144.0,2118,38144,1394,952
2022-04-16,40966.0,2252,40966,1510,1082
2022-04-23,42086.0,2152,42086,1905,1238
2022-04-30,43420.0,2134,43420,1835,1258
2022-05-07,47799.0,2149,47799,1952,1255
2022-05-14,52025.0,2312,52025,1822,1122
2022-05-21,54081.0,2354,54081,1608,1048
2022-05-28,52385.0,2208,52385,1383,1000
2022-06-04,51863.0,2195,51863,1128,883
2022-06-11,45240.0,2136,45240,899,813
2022-06-18,40250.0,1667,40250,718,674
2022-06-25,37830.0,1679,37830,591,557
2022-07-02,34566.0,1266,34566,563,615
2022-07-09,34983.0,1941,34983,464,608
2022-07-16,33011.0,1857,33011,456,671
2022-07-23,32611.0,1780,32611,426,647
2022-07-30,32040.0,1670,32040,399,583
2022-08-06,29641.0,1654,29641,425,496
2022-08-13,28642.0,1601,28642,408,583
2022-08-20,31572.0,1491,31572,439,752
2022-08-27,35787.0,1577,35787,831,940
2022-09-03,37513.0,1604,37513,990,870
2022-09-10,38334.0,2059,38334,737,687
2022-09-17,39838.0,1853,39838,851,544
2022-09-24,44726.0,2018,44726,852,548
2022-10-01,46321.0,2097,46321,995,517
2022-10-08,57318.0,2286,57318,665,557
2022-10-15,63388.0,2484,63388,675,644
2022-10-22,75615.0,2694,75615,1512,796
2022-10-29,109496.0,3244,109496,1982,1165
2022-11-05,139247.0,4070,139247,2628,1623
2022-11-12,140055.0,4434,140055,3532,1945
2022-11-19,137419.0,4493,137419,4577,2301
2022-11-26,164936.0,5036,164936,4648,3250
2022-12-03,185673.0,6061,185673,5209,3876
2022-12-10,167248.0,5653,167248,4808,4221
2022-12-17,151672.0,4335,151672,4961,3972
2022-12-24,129978.0,4585,129978,4152,3232
2022-12-31,112531.0,4529,112531,3112,2645
2023-01-07,92034.0,4514,92034,2176,1714
2023-01-14,67720.0,3764,67720,1569,935
2023-01-21,57770.0,3616,57770,1253,786
2023-01-28,58231.0,3660,58231,1092,784
2023-02-04,59326.0,3221,59326,1611,872
2023-02-11,62258.0,3147,62258,1676,925
2023-02-18,59665.0,3122,59665,1590,833
2023-02-25,57223.0,2768,57223,1514,902
2023-03-04,55682.0,2752,55682,1586,926
2023-03-11,54686.0,3208,54686,1595,910
2023-03-18,54263.0,2853,54263,1583,851
2023-03-25,55394.0,2485,55394,1549,689
2023-04-01,53342.0,2359,53342,1310,765
2023-04-08,48355.0,2149,48355,1333,720
2023-04-15,46725.0,1997,46725,1333,677
2023-04-22,44507.0,1550,44507,1268,617
2023-04-29,44802.0,1506,44802,1240,688
2023-05-06,45582.0,1525,45582,1244,645
2023-05-13,45769.0,1959,45769,1167,563
2023-05-20,43287.0,1867,43287,1107,548
2023-05-27,41516.0,1662,41516,971,489
2023-06-03,41589.0,1548,41589,871,482
2023-06-10,36939.0,1506,36939,741,385
2023-06-17,33880.0,1150,33880,666,370
2023-06-24,30889.0,1030,30889,594,334
2023-07-01,28486.0,957,28486,529,250
2023-07-08,26648.0,1191,26648,456,279
2023-07-15,25903.0,1261,25903,469,261
2023-07-22,25802.0,1290,25802,423,275
2023-07-29,26417.0,1188,26417,406,272
2023-08-05,26896.0,1339,26896,390,245
2023-08-12,29313.0,1443,29313,483,377
2023-08-19,33663.0,1506,33663,547,497
2023-08-26,40979.0,1639,40979,761,586
2023-09-02,44411.0,2063,44411,883,576
2023-09-09,44734.0,2322,44734,908,648
2023-09-16,45287.0,2309,45287,873,545
2023-09-23,48265.0,2491,48265,951,643
2023-09-30,49269.0,2597,49269,1057,662
2023-10-07,56312.0,2579,56312,981,705
2023-10-14,57524.0,2423,57524,1156,706
2023-10-21,62503.0,2499,62502,1311,815
2023-10-28,67635.0,2559,67776,1276,864
2023-11-04,72231.0,2513,72232,1514,1074
2023-11-11,85459.0,2904,85459,1875,1115
2023-11-18,90948.0,3137,90973,2372,1104
2023-11-25,85524.0,3025,85524,2156,1110
2023-12-02,103712.0,3705,103711,2641,1302
2023-12-09,114141.0,3786,114204,2990,1611
2023-12-16,135998.0,4320,136080,3541,2264
2023-12-23,163265.0,4949,163336,4065,3142
2023-12-30,166750.0,5517,166826,3858,3164
2024-01-06,143938.0,5113,143990,3391,2752
2024-01-13,118459.0,4772,118490,2872,1958
2024-01-20,100098.0,3871,100138,2350,1729
2024-01-27,105571.0,4149,105602,2704,2007
2024-02-03,107922.0,4104,107954,2649,1910
2024-02-10,112968.0,4078,112994,2550,2065
2024-02-17,108366.0,4029,108419,2357,1984
2024-02-24,107566.0,4122,107612,2218,1859
2024-03-02,104864.0,4009,104896,2026,2087
2024-03-09,94742.0,3775,94848,1995,1678
2024-03-16,84963.0,3438,84989,1689,1654
2024-03-23,78618.0,3322,78701,1479,1506
2024-03-30,73845.0,3183,73910,1322,1259
2024-04-06,68526.0,3081,68554,1329,1119
2024-04-13,64449.0,2654,64523,1340,1084
2024-04-20,57522.0,2431,57575,1312,996
2024-04-27,55413.0,2403,55439,1260,947
2024-05-04,53519.0,2179,53529,1338,898
2024-05-11,50457.0,2324,50464,1237,829
2024-05-18,49254.0,1989,49411,1152,810
2024-05-25,47562.0,1887,47587,1006,801
2024-06-01,44766.0,1843,44771,891,773
2024-06-08,41248.0,1760,41255,793,607
2024-06-15,37720.0,1715,37749,627,384
2024-06-22,35781.0,1570,35810,609,518
2024-06-29,35208.0,1609,35236,564,482
2024-07-06,32093.0,1686,32132,458,440
2024-07-13,34982.0,1829,35017,549,449
2024-07-20,33474.0,1851,33504,542,411
2024-07-27,34749.0,1918,34828,543,280
2024-08-03,34935.0,2119,35020,536,262
2024-08-10,34912.0,2445,35090,543,328
2024-08-17,35347.0,2759,37059,594,378
