date,ILITOTAL,value_pathogen_RSV_Region_3_Negatives_Value,national_newu_ILITOTAL,colorado_new_ILITOTAL
2022-04-09,38144.0,2118,38144,1394
2022-04-16,40966.0,2252,40966,1510
2022-04-23,42086.0,2152,42086,1905
2022-04-30,43420.0,2134,43420,1835
2022-05-07,47799.0,2149,47799,1952
2022-05-14,52025.0,2312,52025,1822
2022-05-21,54081.0,2354,54081,1608
2022-05-28,52385.0,2208,52385,1383
2022-06-04,51863.0,2195,51863,1128
2022-06-11,45240.0,2136,45240,899
2022-06-18,40250.0,1667,40250,718
2022-06-25,37830.0,1679,37830,591
2022-07-02,34566.0,1266,34566,563
2022-07-09,34983.0,1941,34983,464
2022-07-16,33011.0,1857,33011,456
2022-07-23,32611.0,1780,32611,426
2022-07-30,32040.0,1670,32040,399
2022-08-06,29641.0,1654,29641,425
2022-08-13,28642.0,1601,28642,408
2022-08-20,31572.0,1491,31572,439
2022-08-27,35787.0,1577,35787,831
2022-09-03,37513.0,1604,37513,990
2022-09-10,38334.0,2059,38334,737
2022-09-17,39838.0,1853,39838,851
2022-09-24,44726.0,2018,44726,852
2022-10-01,46321.0,2097,46321,995
2022-10-08,57318.0,2286,57318,665
2022-10-15,63388.0,2484,63388,675
2022-10-22,75615.0,2694,75615,1512
2022-10-29,109496.0,3244,109496,1982
2022-11-05,139247.0,4070,139247,2628
2022-11-12,140055.0,4434,140055,3532
2022-11-19,137419.0,4493,137419,4577
2022-11-26,164936.0,5036,164936,4648
2022-12-03,185673.0,6061,185673,5209
2022-12-10,167248.0,5653,167248,4808
2022-12-17,151672.0,4335,151672,4961
2022-12-24,129978.0,4585,129978,4152
2022-12-31,112531.0,4529,112531,3112
2023-01-07,92034.0,4514,92034,2176
2023-01-14,67720.0,3764,67720,1569
2023-01-21,57770.0,3616,57770,1253
2023-01-28,58231.0,3660,58231,1092
2023-02-04,59326.0,3221,59326,1611
2023-02-11,62258.0,3147,62258,1676
2023-02-18,59665.0,3122,59665,1590
2023-02-25,57223.0,2768,57223,1514
2023-03-04,55682.0,2752,55682,1586
2023-03-11,54686.0,3208,54686,1595
2023-03-18,54263.0,2853,54263,1583
2023-03-25,55394.0,2485,55394,1549
2023-04-01,53342.0,2359,53342,1310
2023-04-08,48355.0,2149,48355,1333
2023-04-15,46725.0,1997,46725,1333
2023-04-22,44507.0,1550,44507,1268
2023-04-29,44802.0,1506,44802,1240
2023-05-06,45582.0,1525,45582,1244
2023-05-13,45769.0,1959,45769,1167
2023-05-20,43287.0,1867,43287,1107
2023-05-27,41516.0,1662,41516,971
2023-06-03,41589.0,1548,41589,871
2023-06-10,36939.0,1506,36939,741
2023-06-17,33880.0,1150,33880,666
2023-06-24,30889.0,1030,30889,594
2023-07-01,28486.0,957,28486,529
2023-07-08,26648.0,1191,26648,456
2023-07-15,25903.0,1261,25903,469
2023-07-22,25802.0,1290,25802,423
2023-07-29,26417.0,1188,26417,406
2023-08-05,26896.0,1339,26896,390
2023-08-12,29313.0,1443,29313,483
2023-08-19,33663.0,1506,33663,547
2023-08-26,40979.0,1639,40979,761
2023-09-02,44411.0,2063,44411,883
2023-09-09,44734.0,2322,44734,908
2023-09-16,45287.0,2309,45287,873
2023-09-23,48265.0,2491,48265,951
2023-09-30,49269.0,2597,49269,1057
2023-10-07,56312.0,2579,56312,981
2023-10-14,57524.0,2423,57524,1156
2023-10-21,62503.0,2499,62502,1311
2023-10-28,67635.0,2559,67776,1276
2023-11-04,72231.0,2513,72232,1514
2023-11-11,85459.0,2904,85459,1875
2023-11-18,90948.0,3137,90973,2372
2023-11-25,85524.0,3025,85524,2156
2023-12-02,103712.0,3705,103711,2641
2023-12-09,114141.0,3786,114204,2990
2023-12-16,135998.0,4320,136080,3541
2023-12-23,163265.0,4949,163336,4065
2023-12-30,166750.0,5517,166826,3858
2024-01-06,143938.0,5113,143990,3391
2024-01-13,118459.0,4772,118490,2872
2024-01-20,100098.0,3871,100138,2350
2024-01-27,105571.0,4149,105602,2704
2024-02-03,107922.0,4104,107954,2649
2024-02-10,112968.0,4078,112994,2550
2024-02-17,108366.0,4029,108419,2357
2024-02-24,107566.0,4122,107612,2218
2024-03-02,104864.0,4009,104896,2026
2024-03-09,94742.0,3775,94848,1995
2024-03-16,84963.0,3438,84989,1689
2024-03-23,78618.0,3322,78701,1479
2024-03-30,73845.0,3183,73910,1322
2024-04-06,68526.0,3081,68554,1329
2024-04-13,64449.0,2654,64523,1340
2024-04-20,57522.0,2431,57575,1312
2024-04-27,55413.0,2403,55439,1260
2024-05-04,53519.0,2179,53529,1338
2024-05-11,50457.0,2324,50464,1237
2024-05-18,49254.0,1989,49411,1152
2024-05-25,47562.0,1887,47587,1006
2024-06-01,44766.0,1843,44771,891
2024-06-08,41248.0,1760,41255,793
2024-06-15,37720.0,1715,37749,627
2024-06-22,35781.0,1570,35810,609
2024-06-29,35208.0,1609,35236,564
2024-07-06,32093.0,1686,32132,458
2024-07-13,34982.0,1829,35017,549
2024-07-20,33474.0,1851,33504,542
2024-07-27,34749.0,1918,34828,543
2024-08-03,34935.0,2119,35020,536
2024-08-10,34912.0,2445,35090,543
2024-08-17,35347.0,2759,37059,594
