date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT,INFLUENZA A,INFLUENZA B,INFLUENZA A AND B,UNKNOWN
11/19/07 0:00,1.8112,1.97488,3651,2631,8570,1523,433951,17,1,0,3
11/26/07 0:00,1.61865,1.67305,3679,3158,9171,1513,548159,18,2,0,0
12/3/07 0:00,1.62124,1.63405,3365,2907,8436,1487,516263,18,3,0,1
12/10/07 0:00,1.67351,1.74595,3298,2694,8091,1453,463416,24,2,0,0
12/17/07 0:00,1.95096,1.93643,3580,2724,8750,1420,451862,40,4,0,3
12/24/07 0:00,2.50019,2.48905,3848,2348,8902,1426,357646,50,8,0,7
12/31/07 0:00,2.43939,2.25405,3737,2568,9706,1486,430603,38,9,0,8
1/7/08 0:00,2.29319,2.09147,3393,3644,11115,1509,531444,52,10,0,1
1/14/08 0:00,2.62907,2.35934,3664,4900,12197,1511,516966,57,19,0,4
1/21/08 0:00,3.92966,3.32331,4289,7661,17171,1508,516683,100,29,0,3
1/28/08 0:00,4.99202,4.43381,5222,11974,24812,1514,559609,185,44,0,9
2/4/08 0:00,5.7776,5.34547,6059,15323,31896,1526,596692,266,96,0,18
2/11/08 0:00,5.98318,5.42258,6244,14336,31625,1518,583210,282,114,0,14
2/18/08 0:00,5.61677,5.30303,5922,12783,30245,1497,570334,322,139,0,25
2/25/08 0:00,4.53234,4.24456,4978,9958,25027,1453,589626,275,153,0,16
3/3/08 0:00,3.83249,3.628,4420,7849,20254,1445,558269,245,121,0,16
3/10/08 0:00,3.21522,3.03463,3878,6112,16714,1412,550776,210,117,0,12
3/17/08 0:00,2.69245,2.53595,3153,4493,13040,1395,514205,128,102,0,13
3/24/08 0:00,2.03366,2.0573,2689,3395,10376,1379,504350,76,69,0,5
3/31/08 0:00,1.65275,1.7415,2372,2697,8583,1327,492850,61,65,0,3
4/7/08 0:00,1.3113,1.40652,2045,2354,7045,1318,500881,27,39,0,1
4/14/08 0:00,1.1652,1.26861,1857,2013,6079,1288,479187,21,32,0,1
4/21/08 0:00,1.02035,1.07719,1572,1713,4953,1208,459808,10,17,0,0
9/29/08 0:00,1.06828,1.02284,1535,2352,5687,1435,555999,3,0,0,0
10/6/08 0:00,1.00756,1.03017,1861,2291,5959,1500,578446,11,0,0,0
10/13/08 0:00,0.979399,1.01245,1869,2219,5896,1525,582351,3,0,0,1
10/20/08 0:00,1.04943,1.08359,1976,2474,6485,1527,598473,10,0,1,0
10/27/08 0:00,1.13218,1.16578,2119,2547,6987,1545,599343,9,0,0,0
11/3/08 0:00,1.13156,1.1913,2276,2668,7297,1555,612526,11,0,0,1
11/10/08 0:00,1.15469,1.28075,2512,2854,7667,1555,598635,8,1,1,2
11/17/08 0:00,1.20448,1.27053,2600,2828,7733,1563,608646,12,2,0,0
11/24/08 0:00,1.36081,1.59578,3024,2412,7634,1523,478386,8,2,0,1
12/1/08 0:00,1.30322,1.4585,3114,2913,8708,1551,597052,15,4,0,3
12/8/08 0:00,1.30204,1.49921,3252,3024,8689,1543,579573,17,0,0,1
12/15/08 0:00,1.45109,1.62982,3137,2579,7812,1416,479318,16,0,0,0
12/22/08 0:00,1.79927,2.15561,3897,2367,8706,1484,403876,29,5,0,2
12/29/08 0:00,2.12134,2.02053,3814,2042,8603,1490,425780,25,4,0,1
1/5/09 0:00,1.47138,1.54566,3245,2548,8956,1539,579428,49,4,0,1
1/12/09 0:00,1.61555,1.64224,3142,3345,9289,1512,565631,48,9,0,1
1/19/09 0:00,1.95333,1.96524,3602,4597,11456,1566,582932,80,8,1,4
1/26/09 0:00,2.42907,2.34368,4039,6602,14324,1554,611176,90,14,0,4
2/2/09 0:00,2.96686,2.86057,4606,8882,18268,1580,638613,120,25,1,8
2/9/09 0:00,3.57354,3.3421,5064,11215,21667,1569,648304,148,31,0,6
2/16/09 0:00,3.36653,3.20566,4848,9851,20022,1543,624583,116,54,1,10
2/23/09 0:00,3.2962,3.10049,4694,10092,20450,1544,659573,106,45,0,4
3/2/09 0:00,3.17227,2.95819,4420,9116,18441,1534,623389,95,52,0,9
3/9/09 0:00,2.5804,2.46381,4046,7446,15711,1524,637672,69,33,0,9
3/16/09 0:00,2.42922,2.19272,3657,6036,13277,1494,605503,53,40,0,2
3/23/09 0:00,1.99028,1.87395,3237,5052,11400,1470,608342,32,23,0,2
3/30/09 0:00,1.72423,1.64817,2829,4283,9669,1440,586651,21,20,0,1
4/6/09 0:00,1.60355,1.49878,2577,3407,8460,1422,564460,10,4,0,1
8/24/09 0:00,2.38017,2.47166,2883,8253,14556,1320,588916,83,0,0,1
8/31/09 0:00,3.44681,3.71969,3713,13114,21350,1358,573972,207,3,2,1
9/7/09 0:00,4.05315,3.94975,4087,13407,22561,1367,571201,198,3,2,1
9/14/09 0:00,4.26621,4.08756,4445,15326,26091,1380,638302,260,3,3,3
9/28/09 0:00,4.8861,4.60362,4974,16291,27919,1331,606458,707,0,5,7
10/5/09 0:00,6.06923,5.66087,9302,27406,48420,2056,855346,952,2,7,6
10/12/09 0:00,7.09467,6.81522,11527,32585,58196,2134,853912,1022,4,2,4
10/19/09 0:00,7.7151,7.61889,13187,39364,69068,2162,906536,887,2,3,1
10/26/09 0:00,7.55134,7.38836,13174,36860,66411,2167,898860,675,5,2,4
11/2/09 0:00,6.67118,6.33927,12161,30860,57017,2197,899425,453,2,1,4
11/9/09 0:00,5.20633,4.94349,10151,21112,42729,2191,864348,324,0,2,2
11/16/09 0:00,4.04477,3.80996,8979,14652,32520,2157,853552,186,2,4,1
11/23/09 0:00,3.49722,3.44106,7716,8237,22508,2146,654101,122,0,2,1
11/30/09 0:00,2.69023,2.66773,7195,7988,21730,2122,814550,86,1,3,2
12/7/09 0:00,2.47119,2.47183,6490,7218,19325,2093,781811,70,0,2,0
12/14/09 0:00,2.44773,2.345,6275,5785,17081,2014,728401,66,1,1,0
12/21/09 0:00,2.64594,2.71435,6078,4127,14575,1934,536961,75,2,0,0
1/4/10 0:00,1.90712,1.98284,4998,3961,14299,1996,721138,56,1,1,0
1/11/10 0:00,1.86738,1.82749,4877,4614,14088,2016,770895,53,2,0,1
1/18/10 0:00,1.88072,1.92606,5399,5079,14757,2053,766177,56,0,1,0
1/25/10 0:00,1.96908,1.92495,5333,5655,15122,2026,785580,37,0,2,0
2/1/10 0:00,2.11387,2.08877,5816,6142,16037,1996,767773,48,3,3,0
2/8/10 0:00,2.09695,2.03434,5496,5577,15381,1977,756068,33,4,2,1
2/15/10 0:00,1.90294,1.97649,5388,5536,15065,1954,762208,48,1,2,0
2/22/10 0:00,1.96951,1.99362,5040,6207,16087,1990,806925,37,3,1,0
3/1/10 0:00,1.92331,1.85383,4281,5685,14486,1953,781411,39,2,1,1
3/8/10 0:00,1.89659,1.8673,4612,5270,14354,1946,768702,38,2,2,0
3/15/10 0:00,1.75181,1.69987,4063,4466,12601,1933,741293,37,1,0,0
3/22/10 0:00,1.52632,1.49741,3625,4108,11191,1917,747358,25,0,1,1
3/29/10 0:00,1.49572,1.45112,3408,3733,10359,1875,713863,16,2,1,0
4/5/10 0:00,1.22313,1.20715,3090,2933,8813,1850,730068,17,0,0,0
4/12/10 0:00,1.17754,1.17415,3117,3110,8801,1831,749563,17,1,0,0
4/19/10 0:00,1.09112,1.16207,2921,3044,8362,1765,719580,9,0,1,0
4/26/10 0:00,1.11958,1.17213,3081,2972,8440,1755,720054,7,0,0,0
10/4/10 0:00,1.10939,1.13505,2627,3142,8473,1838,746485,9,2,1,1
10/11/10 0:00,1.24341,1.25256,2953,3522,9347,1875,746230,12,2,1,0
10/18/10 0:00,1.25726,1.2457,3044,3641,9684,1907,777397,12,3,1,1
10/25/10 0:00,1.25734,1.26774,3226,3822,9904,1929,781234,18,5,0,0
11/1/10 0:00,1.43414,1.43723,3451,4397,11020,1947,766753,18,6,0,0
11/8/10 0:00,1.51838,1.53341,3927,4679,11807,1940,769982,9,8,0,0
11/15/10 0:00,1.61617,1.69445,4416,5322,13336,1921,787038,20,14,1,1
11/22/10 0:00,1.84378,1.9915,4598,4145,12079,1938,606527,21,16,2,1
11/29/10 0:00,1.72535,1.81305,5045,4978,13997,1964,772016,38,26,0,0
12/6/10 0:00,1.87923,2.01426,5060,5867,14958,1936,742606,54,34,2,0
12/13/10 0:00,2.3371,2.55659,6300,7194,18022,1916,704923,77,30,0,0
12/20/10 0:00,3.03533,3.38185,7295,7071,19899,1840,588406,138,33,1,0
12/27/10 0:00,3.136,3.43172,7478,5764,20346,1887,592880,209,37,1,2
1/3/11 0:00,2.53336,2.69151,6584,6342,20026,1923,744043,197,45,4,6
1/10/11 0:00,2.91288,2.91063,6238,7773,20721,1921,711908,246,30,6,0
1/17/11 0:00,3.44497,3.49232,7247,11243,26257,1964,751850,321,38,0,1
1/24/11 0:00,4.16185,4.0037,8007,15291,31975,1947,798637,382,40,3,2
1/31/11 0:00,4.55159,4.43534,8195,16366,34284,1970,772974,457,63,2,4
2/7/11 0:00,4.46504,4.24215,8036,16516,34456,1961,812230,398,63,2,3
2/14/11 0:00,4.55124,4.39719,8172,17493,36567,1910,831600,520,62,3,7
2/21/11 0:00,4.0822,3.90256,7839,13718,31277,1908,801449,522,87,2,8
2/28/11 0:00,3.38812,3.15073,6376,10496,24627,1860,781629,454,73,1,2
3/7/11 0:00,2.99142,2.72422,5691,8427,20377,1829,747993,338,74,0,2
3/14/11 0:00,2.61542,2.33336,5363,6702,17309,1823,741807,265,67,2,4
3/21/11 0:00,2.09065,1.925,4400,5489,14031,1790,728883,173,38,0,3
3/28/11 0:00,1.86146,1.75243,4189,5025,12957,1770,739375,101,45,0,1
4/4/11 0:00,1.61377,1.57704,3701,4557,11498,1723,729089,70,37,1,0
4/11/11 0:00,1.42199,1.35766,3164,3562,9391,1681,691707,58,24,0,0
4/18/11 0:00,1.3382,1.31223,3139,3064,8695,1651,662612,26,24,0,0
4/25/11 0:00,1.19995,1.14937,2895,2673,7830,1612,681240,21,12,0,0
10/3/11 0:00,1.16092,1.20345,3106,3485,9365,1850,778182,5,3,0,0
10/10/11 0:00,1.19785,1.23777,3317,3667,9803,1883,791987,2,1,1,1
10/17/11 0:00,1.27926,1.25259,3324,3837,9958,1905,794995,6,2,0,0
10/24/11 0:00,1.29194,1.30546,3453,4035,10298,1900,788840,2,0,0,0
10/31/11 0:00,1.42824,1.45295,3634,4658,11396,1925,784334,2,3,0,1
11/7/11 0:00,1.39803,1.44089,3949,4348,11496,1946,797839,1,0,0,1
11/14/11 0:00,1.45831,1.46221,3923,4361,11721,1900,801594,4,0,0,0
11/21/11 0:00,1.56548,1.65573,4125,3340,10377,1918,626731,7,2,0,0
11/28/11 0:00,1.34313,1.46606,4237,3955,11479,1904,782984,7,2,0,0
12/5/11 0:00,1.48139,1.51811,3995,4040,11187,1898,736905,3,4,0,1
12/12/11 0:00,1.63398,1.66429,4579,4097,12137,1872,729258,11,5,0,0
12/19/11 0:00,1.83126,1.85274,5016,3535,11958,1851,645424,11,2,0,1
12/26/11 0:00,2.10451,2.12413,5243,3184,12356,1821,581697,23,3,0,0
1/2/12 0:00,1.73625,1.76709,4514,3393,11992,1891,678631,17,6,0,1
1/9/12 0:00,1.55066,1.5434,4059,3636,11543,1883,747894,21,1,0,0
1/16/12 0:00,1.62891,1.64762,4364,4030,11939,1887,724623,20,3,0,0
1/23/12 0:00,1.76038,1.6843,4766,4802,13209,1891,784244,28,1,0,0
1/30/12 0:00,1.92728,1.86354,5218,5336,14448,1885,775298,53,5,0,0
2/6/12 0:00,1.91994,1.86408,5028,5555,14624,1875,784516,53,5,0,0
2/13/12 0:00,2.09951,2.01839,5277,5994,15929,1884,789193,84,6,0,1
2/20/12 0:00,2.23973,2.10385,5246,5990,16137,1853,767022,106,4,0,0
2/27/12 0:00,2.21921,2.09555,5219,6239,16518,1826,788242,152,15,1,0
3/5/12 0:00,2.16693,2.10398,4811,6493,15763,1816,749198,210,7,1,0
3/12/12 0:00,2.38913,2.2941,5175,6768,17150,1819,747570,282,15,0,0
3/19/12 0:00,1.96466,1.92223,4422,5683,14524,1780,755579,268,25,1,0
3/26/12 0:00,1.84229,1.74239,3807,5256,13017,1753,747079,189,36,2,1
4/2/12 0:00,1.68674,1.67601,3582,4631,11930,1729,711808,162,33,0,0
4/9/12 0:00,1.53136,1.49637,3253,4059,10732,1707,717202,160,38,0,1
4/16/12 0:00,1.37912,1.38202,3001,4020,10123,1699,732480,126,40,1,0
4/23/12 0:00,1.29515,1.28926,2638,3802,9370,1675,726772,89,27,1,0
10/1/12 0:00,1.23034,1.20559,2773,3691,9395,1932,779285,5,4,0,2
10/8/12 0:00,1.3278,1.31929,2960,4007,10158,1940,769959,4,2,0,0
10/15/12 0:00,1.33995,1.32737,3202,4233,10585,1968,797444,12,2,0,1
10/22/12 0:00,1.37842,1.36688,3346,4268,10913,1958,798388,10,0,0,0
10/29/12 0:00,1.50085,1.50535,3326,4422,11061,1929,734781,15,9,0,1
11/5/12 0:00,1.65163,1.61273,3733,5145,12674,1974,785871,36,16,1,1
11/12/12 0:00,1.76746,1.75208,4034,5526,13623,1966,777534,52,24,0,0
11/19/12 0:00,2.30609,2.33365,4651,5387,14650,1968,627772,115,18,0,0
11/26/12 0:00,2.16324,2.2268,5102,7018,18521,2006,831730,182,39,0,1
12/3/12 0:00,2.83038,2.97657,6486,10857,24877,2006,835762,324,71,0,0
12/10/12 0:00,3.43761,3.62552,7446,12945,29432,1977,811800,476,67,2,1
12/17/12 0:00,4.30554,4.5532,8546,13971,34332,1908,754019,774,104,1,5
12/24/12 0:00,6.06082,6.02598,9709,11391,36588,1905,607171,1315,102,0,0
12/31/12 0:00,4.64931,4.96368,8444,9108,34103,1982,687051,1371,146,2,6
1/7/13 0:00,4.32584,4.69072,8297,13424,39896,1995,850531,1251,134,1,5
1/14/13 0:00,4.51113,4.70473,8633,15992,39441,2008,838326,917,135,6,4
1/21/13 0:00,4.2171,4.1646,7441,13439,32426,1978,778610,758,115,1,2
1/28/13 0:00,3.78956,3.69533,6609,12653,29808,1963,806640,576,141,1,6
2/4/13 0:00,3.29206,3.2363,5757,10816,24987,1931,772086,423,120,3,6
2/11/13 0:00,3.0197,2.89421,5289,9395,22321,1926,771229,338,146,3,3
2/18/13 0:00,2.71499,2.71742,5099,8415,20519,1940,755092,231,144,1,0
2/25/13 0:00,2.4845,2.52297,4633,7981,19231,1893,762238,201,137,0,0
3/4/13 0:00,2.57808,2.55227,4791,7709,18829,1884,737736,140,143,0,0
3/11/13 0:00,2.39237,2.43225,4480,7065,17392,1846,715059,102,159,0,1
3/18/13 0:00,2.06778,2.10851,3957,6095,15254,1825,723449,76,129,0,1
3/25/13 0:00,1.90281,1.94725,3830,5204,13714,1811,704276,42,121,1,0
4/1/13 0:00,1.65902,1.74859,3516,4299,12273,1769,701881,40,125,1,0
4/8/13 0:00,1.43006,1.49713,3110,3929,10818,1742,722583,26,80,2,0
4/15/13 0:00,1.27757,1.32313,2707,3509,9188,1732,694415,19,35,1,0
4/22/13 0:00,1.19009,1.22647,2588,3364,8589,1711,700300,17,33,2,1
9/30/13 0:00,1.15746,1.13249,2974,3769,9677,1960,854487,6,3,0,0
10/7/13 0:00,1.27184,1.21121,3276,3925,10420,1990,860298,16,4,0,1
10/14/13 0:00,1.31623,1.25682,3483,3880,10658,2018,848016,13,6,0,0
10/21/13 0:00,1.37444,1.37097,3930,4484,12036,2027,877917,17,4,0,0
10/28/13 0:00,1.46781,1.42956,4045,4642,12502,2028,874537,25,6,2,0
11/4/13 0:00,1.5834,1.53588,4434,5062,13498,2017,878845,28,9,0,1
11/11/13 0:00,1.60253,1.60267,4643,5000,13927,2054,868987,55,5,0,1
11/18/13 0:00,1.72344,1.73267,4835,5579,15168,2012,875411,95,4,0,0
11/25/13 0:00,2.11076,2.09858,4937,4313,13975,2042,665926,152,5,1,1
12/2/13 0:00,2.1708,2.21374,5549,6579,18920,2055,854664,257,13,1,0
12/9/13 0:00,2.36971,2.41674,5501,7046,19398,2054,802651,289,11,1,1
12/16/13 0:00,3.15997,3.03071,6555,8406,24697,2009,814891,528,15,1,1
12/23/13 0:00,4.59053,4.38724,7814,7485,26988,2007,615148,830,20,3,2
12/30/13 0:00,4.28195,4.2112,7488,6726,28654,2033,680424,1055,15,0,3
1/6/14 0:00,3.56288,3.46492,6233,7881,28147,2059,812343,1003,25,2,3
1/13/14 0:00,3.36378,3.31698,6007,9517,28370,2049,855297,818,26,2,7
1/20/14 0:00,3.39659,3.2407,5878,8858,25502,2062,786928,617,43,3,8
1/27/14 0:00,3.11922,2.88598,5133,8714,23484,2051,813726,540,31,1,2
2/3/14 0:00,2.83572,2.62172,4729,7711,21085,2051,804244,452,31,0,4
