date,ILITOTAL,RSV_Region 3_total_patients_total_patients,RSV_Region 10_total_patients_total_patients,RSV_Region 5_total_patients_total_patients,Adenovirus_Region 10_total_patients_total_patients
2020-12-21,19836,977.0,2487.0,4200.0,357.0
2020-12-28,22423,1108.0,2741.0,4514.0,420.0
2021-01-04,22711,1152.0,2831.0,4690.0,416.0
2021-01-11,19018,1043.0,2728.0,4422.0,419.0
2021-01-18,18350,1038.0,2602.0,4629.0,403.0
2021-01-25,16896,980.0,2750.0,4352.0,420.0
2021-02-01,16098,1000.0,2706.0,4290.0,387.0
2021-02-08,14079,801.0,1565.0,4494.0,337.0
2021-02-15,12591,775.0,2272.0,3785.0,364.0
2021-02-22,13344,1009.0,2304.0,4140.0,354.0
2021-03-01,13000,1054.0,2150.0,4367.0,355.0
2021-03-08,14077,882.0,1992.0,5246.0,342.0
2021-03-15,14574,1523.0,1897.0,4560.0,326.0
2021-03-22,15354,1457.0,2101.0,4804.0,377.0
2021-03-29,15993,1984.0,2026.0,4864.0,386.0
2021-04-05,18100,1001.0,2043.0,5183.0,375.0
2021-04-12,19165,1094.0,2176.0,4740.0,412.0
2021-04-19,19305,990.0,2373.0,4703.0,364.0
2021-04-26,20099,984.0,2194.0,4379.0,392.0
2021-05-03,19930,966.0,2179.0,3999.0,387.0
2021-05-10,20367,850.0,2213.0,3438.0,382.0
2021-05-17,21262,921.0,2027.0,3163.0,353.0
2021-05-24,19675,863.0,1651.0,2899.0,352.0
2021-05-31,20143,895.0,1861.0,2895.0,272.0
2021-06-07,19182,898.0,1670.0,2817.0,255.0
2021-06-14,19579,1161.0,1700.0,3007.0,285.0
2021-06-21,19890,1067.0,1662.0,2983.0,309.0
2021-06-28,20092,875.0,1010.0,3084.0,275.0
2021-07-05,22371,889.0,1675.0,3375.0,210.0
2021-07-12,25261,913.0,1727.0,3429.0,325.0
2021-07-19,30545,1108.0,1911.0,3631.0,329.0
2021-07-26,35195,1190.0,2278.0,4137.0,532.0
2021-08-02,37756,1157.0,2603.0,4559.0,562.0
2021-08-09,40067,1251.0,2655.0,5287.0,607.0
2021-08-16,42721,1350.0,2839.0,5439.0,629.0
2021-08-23,43058,1463.0,2725.0,6064.0,672.0
2021-08-30,40864,1460.0,2775.0,6484.0,726.0
2021-09-06,39421,1568.0,2752.0,6996.0,715.0
2021-09-13,36193,1728.0,3124.0,8440.0,847.0
2021-09-20,33976,1701.0,3451.0,8391.0,862.0
2021-09-27,29949,1775.0,3366.0,8659.0,937.0
2021-10-04,39535,1928.0,3544.0,8958.0,879.0
2021-10-11,37638,1886.0,4188.0,8120.0,1054.0
2021-10-18,35714,2094.0,4086.0,8313.0,1101.0
2021-10-25,36639,1371.0,4046.0,8384.0,1089.0
2021-11-01,40030,1843.0,4103.0,10229.0,1141.0
2021-11-08,44163,1830.0,4406.0,11265.0,1215.0
2021-11-15,47076,2449.0,4315.0,17657.0,1119.0
2021-11-22,43324,2449.0,4547.0,18204.0,1085.0
2021-11-29,52729,2551.0,5340.0,14139.0,1186.0
2021-12-06,55069,3190.0,5384.0,23961.0,1175.0
2021-12-13,62545,3817.0,4628.0,27240.0,1282.0
2021-12-20,79225,4358.0,6316.0,32669.0,1437.0
2021-12-27,113862,4292.0,7212.0,32309.0,1009.0
2022-01-03,93262,3305.0,8311.0,28775.0,1186.0
2022-01-10,69183,3044.0,6794.0,22339.0,1016.0
2022-01-17,48498,2306.0,5345.0,16400.0,796.0
2022-01-24,34810,2072.0,5328.0,13027.0,669.0
2022-01-31,25831,1751.0,3898.0,10952.0,632.0
2022-02-07,23731,1593.0,2900.0,10734.0,509.0
2022-02-14,23946,1555.0,2821.0,9847.0,488.0
2022-02-21,23609,1690.0,2641.0,9607.0,492.0
2022-02-28,25801,1652.0,3329.0,8594.0,486.0
2022-03-07,28077,1922.0,3168.0,9429.0,533.0
2022-03-14,31359,1811.0,3136.0,9902.0,599.0
2022-03-21,32423,1942.0,3551.0,10316.0,624.0
2022-03-28,34822,1935.0,3620.0,9943.0,752.0
2022-04-04,38144,2132.0,3544.0,11538.0,691.0
2022-04-11,40966,2272.0,3812.0,11061.0,784.0
2022-04-18,42086,2176.0,3299.0,12031.0,868.0
2022-04-25,43420,2159.0,3645.0,13672.0,1012.0
2022-05-02,47799,2187.0,4028.0,13958.0,1194.0
2022-05-09,52025,2349.0,4462.0,14791.0,1299.0
2022-05-16,54081,2403.0,4379.0,14295.0,1336.0
2022-05-23,52385,2267.0,4434.0,13063.0,1290.0
2022-05-30,51863,2252.0,4242.0,11137.0,1188.0
2022-06-06,45240,2213.0,5331.0,10526.0,1103.0
2022-06-13,40250,1729.0,3895.0,9355.0,1067.0
2022-06-20,37830,1772.0,3808.0,8465.0,981.0
2022-06-27,34566,1365.0,3151.0,7925.0,508.0
2022-07-04,34983,2044.0,3625.0,8941.0,920.0
2022-07-11,33011,1945.0,3254.0,8571.0,839.0
2022-07-18,32611,1858.0,3202.0,8792.0,807.0
2022-07-25,32040,1770.0,3253.0,8746.0,826.0
2022-08-01,29641,1758.0,2740.0,8365.0,516.0
2022-08-08,28642,1719.0,3122.0,7294.0,842.0
2022-08-15,31572,1620.0,2959.0,8203.0,763.0
2022-08-22,35787,1704.0,1940.0,8736.0,560.0
2022-08-29,37513,1735.0,2509.0,9576.0,755.0
2022-09-05,38334,2201.0,2549.0,9840.0,747.0
2022-09-12,39838,2094.0,2911.0,10044.0,929.0
2022-09-19,44726,2317.0,3529.0,11907.0,1086.0
2022-09-26,46321,2468.0,4455.0,10752.0,1064.0
2022-10-03,57318,2806.0,4360.0,11816.0,1226.0
2022-10-10,63388,3246.0,4679.0,13534.0,1308.0
2022-10-17,75615,3618.0,5536.0,15477.0,1452.0
2022-10-24,109496,4310.0,6488.0,18894.0,1717.0
2022-10-31,139247,5253.0,7831.0,22151.0,1971.0
2022-11-07,140055,5481.0,8145.0,23742.0,2496.0
2022-11-14,137419,5273.0,11279.0,27378.0,2554.0
2022-11-21,164936,5601.0,11586.0,29147.0,1937.0
2022-11-28,185673,6515.0,14612.0,37754.0,2598.0
2022-12-05,167248,5995.0,13105.0,36518.0,2236.0
2022-12-12,151672,4571.0,11248.0,37473.0,2337.0
2022-12-19,129978,4742.0,8820.0,29763.0,1877.0
2022-12-26,112531,4675.0,10564.0,26085.0,2076.0
2023-01-02,92034,4650.0,8957.0,23204.0,1849.0
2023-01-09,67720,3875.0,6831.0,20718.0,1819.0
2023-01-16,57770,3751.0,5919.0,19091.0,1578.0
2023-01-23,58231,3743.0,5937.0,18209.0,1600.0
2023-01-30,59326,3279.0,6956.0,17356.0,1813.0
2023-02-06,62258,3198.0,7226.0,17668.0,1835.0
2023-02-13,59665,3169.0,6998.0,15992.0,1852.0
2023-02-20,57223,2803.0,6092.0,15776.0,1636.0
2023-02-27,55682,2782.0,6052.0,15319.0,1727.0
2023-03-06,54686,3232.0,5892.0,15007.0,1577.0
2023-03-13,54263,2875.0,6078.0,13617.0,1754.0
2023-03-20,55394,2497.0,5839.0,13992.0,1762.0
2023-03-27,53342,2375.0,5560.0,13796.0,1771.0
2023-04-03,48355,2167.0,4854.0,13025.0,1575.0
2023-04-10,46725,2009.0,4493.0,11529.0,1428.0
2023-04-17,44507,1562.0,4321.0,10231.0,1389.0
2023-04-24,44802,1515.0,3903.0,10128.0,1396.0
2023-05-01,45582,1529.0,4059.0,9679.0,1476.0
2023-05-08,45769,1963.0,3734.0,8960.0,1280.0
2023-05-15,43287,1869.0,3861.0,8545.0,1333.0
2023-05-22,41516,1665.0,3562.0,7941.0,1303.0
2023-05-29,41589,1554.0,3543.0,7420.0,1483.0
2023-06-05,36939,1514.0,2710.0,6851.0,1235.0
2023-06-12,33880,1155.0,2836.0,6258.0,777.0
2023-06-19,30889,1041.0,2667.0,5968.0,809.0
2023-06-26,28486,961.0,2642.0,5565.0,808.0
2023-07-03,26648,1193.0,2519.0,5435.0,714.0
2023-07-10,25903,1267.0,2626.0,5379.0,729.0
2023-07-17,25802,1299.0,2715.0,5678.0,659.0
2023-07-24,26417,1198.0,2640.0,5690.0,843.0
2023-07-31,26896,1349.0,2825.0,6128.0,748.0
2023-08-07,29313,1448.0,2840.0,6530.0,687.0
2023-08-14,33663,1509.0,2923.0,7286.0,755.0
2023-08-21,40979,1651.0,3049.0,8558.0,714.0
2023-08-28,44411,2079.0,3318.0,9699.0,773.0
2023-09-04,44734,2359.0,3604.0,11406.0,703.0
2023-09-11,45287,2340.0,4286.0,13568.0,864.0
2023-09-18,48265,2544.0,4966.0,15324.0,1001.0
2023-09-25,49269,2668.0,5614.0,14674.0,1050.0
2023-10-02,56312,2678.0,5790.0,14282.0,1004.0
2023-10-09,57524,2558.0,5878.0,15082.0,969.0
2023-10-16,62503,2694.0,5851.0,16380.0,907.0
2023-10-23,67635,2843.0,5807.0,16828.0,918.0
2023-10-30,72231,2809.0,5909.0,16503.0,892.0
2023-11-06,85459,3352.0,6271.0,18822.0,925.0
2023-11-13,90948,3733.0,7708.0,21419.0,1263.0
2023-11-20,85524,3624.0,7852.0,20709.0,1279.0
2023-11-27,103712,4358.0,9188.0,26328.0,1455.0
2023-12-04,114141,4404.0,9351.0,27948.0,1487.0
2023-12-11,135998,4938.0,9502.0,31970.0,1503.0
2023-12-18,163265,5528.0,10392.0,34460.0,1541.0
2023-12-25,166750,6105.0,10005.0,35512.0,1169.0
2024-01-01,143938,5593.0,11349.0,33481.0,1419.0
2024-01-08,118459,5130.0,10150.0,30630.0,1304.0
2024-01-15,100098,4146.0,9109.0,25349.0,1279.0
2024-01-22,105571,4401.0,8567.0,24250.0,1195.0
2024-01-29,107922,4295.0,8239.0,27947.0,1208.0
2024-02-05,112968,4228.0,8032.0,30473.0,1235.0
2024-02-12,108366,4164.0,7855.0,29126.0,1246.0
2024-02-19,107566,4232.0,8030.0,29245.0,1294.0
2024-02-26,104864,4096.0,7782.0,28413.0,1234.0
2024-03-04,94742,3841.0,7312.0,27164.0,1335.0
2024-03-11,84963,3484.0,7586.0,24400.0,1242.0
2024-03-18,78618,3364.0,7285.0,22593.0,1253.0
2024-03-25,73845,3204.0,6781.0,21193.0,1223.0
2024-04-01,68526,3120.0,6394.0,20371.0,1237.0
2024-04-08,64449,2674.0,5747.0,18828.0,1134.0
2024-04-15,57522,2445.0,5818.0,16979.0,1124.0
2024-04-22,55413,2416.0,5780.0,15967.0,1155.0
2024-04-29,53519,2189.0,5570.0,14973.0,1195.0
2024-05-06,50457,2336.0,5257.0,13927.0,1194.0
2024-05-13,49254,1993.0,5437.0,13227.0,1225.0
2024-05-20,47562,1894.0,5683.0,12635.0,1388.0
2024-05-27,44766,1849.0,4879.0,11534.0,883.0
2024-06-03,41248,1760.0,4783.0,11039.0,928.0
2024-06-10,37720,1720.0,4888.0,10464.0,990.0
2024-06-17,35781,1573.0,4374.0,9555.0,873.0
2024-06-24,35208,1615.0,3873.0,9461.0,813.0
2024-07-01,32093,1694.0,3508.0,9118.0,729.0
2024-07-08,34982,1836.0,3809.0,10394.0,784.0
2024-07-15,33474,1855.0,3590.0,10887.0,780.0
2024-07-22,34749,1922.0,3714.0,11579.0,712.0
2024-07-29,34935,2128.0,3805.0,11505.0,707.0
2024-08-05,34912,2452.0,3391.0,11998.0,686.0
2024-08-12,35347,2765.0,3662.0,13003.0,773.0
