date,ILITOTAL,RSV_Region 3_total_patients_total_patients,RSV_Region 10_total_patients_total_patients
2022-10-03,57318,2806.0,4360.0
2022-10-10,63388,3246.0,4679.0
2022-10-17,75615,3618.0,5536.0
2022-10-24,109496,4310.0,6488.0
2022-10-31,139247,5253.0,7831.0
2022-11-07,140055,5481.0,8145.0
2022-11-14,137419,5273.0,11279.0
2022-11-21,164936,5601.0,11586.0
2022-11-28,185673,6515.0,14612.0
2022-12-05,167248,5995.0,13105.0
2022-12-12,151672,4571.0,11248.0
2022-12-19,129978,4742.0,8820.0
2022-12-26,112531,4675.0,10564.0
2023-01-02,92034,4650.0,8957.0
2023-01-09,67720,3875.0,6831.0
2023-01-16,57770,3751.0,5919.0
2023-01-23,58231,3743.0,5937.0
2023-01-30,59326,3279.0,6956.0
2023-02-06,62258,3198.0,7226.0
2023-02-13,59665,3169.0,6998.0
2023-02-20,57223,2803.0,6092.0
2023-02-27,55682,2782.0,6052.0
2023-03-06,54686,3232.0,5892.0
2023-03-13,54263,2875.0,6078.0
2023-03-20,55394,2497.0,5839.0
2023-03-27,53342,2375.0,5560.0
2023-04-03,48355,2167.0,4854.0
2023-04-10,46725,2009.0,4493.0
2023-04-17,44507,1562.0,4321.0
2023-04-24,44802,1515.0,3903.0
2023-05-01,45582,1529.0,4059.0
2023-05-08,45769,1963.0,3734.0
2023-05-15,43287,1869.0,3861.0
2023-05-22,41516,1665.0,3562.0
2023-05-29,41589,1554.0,3543.0
2023-06-05,36939,1514.0,2710.0
2023-06-12,33880,1155.0,2836.0
2023-06-19,30889,1041.0,2667.0
2023-06-26,28486,961.0,2642.0
2023-07-03,26648,1193.0,2519.0
2023-07-10,25903,1267.0,2626.0
2023-07-17,25802,1299.0,2715.0
2023-07-24,26417,1198.0,2640.0
2023-07-31,26896,1349.0,2825.0
2023-08-07,29313,1448.0,2840.0
2023-08-14,33663,1509.0,2923.0
2023-08-21,40979,1651.0,3049.0
2023-08-28,44411,2079.0,3318.0
2023-09-04,44734,2359.0,3604.0
2023-09-11,45287,2340.0,4286.0
2023-09-18,48265,2544.0,4966.0
2023-09-25,49269,2668.0,5614.0
2023-10-02,56312,2678.0,5790.0
2023-10-09,57524,2558.0,5878.0
2023-10-16,62503,2694.0,5851.0
2023-10-23,67635,2843.0,5807.0
2023-10-30,72231,2809.0,5909.0
2023-11-06,85459,3352.0,6271.0
2023-11-13,90948,3733.0,7708.0
2023-11-20,85524,3624.0,7852.0
2023-11-27,103712,4358.0,9188.0
2023-12-04,114141,4404.0,9351.0
2023-12-11,135998,4938.0,9502.0
2023-12-18,163265,5528.0,10392.0
2023-12-25,166750,6105.0,10005.0
2024-01-01,143938,5593.0,11349.0
2024-01-08,118459,5130.0,10150.0
2024-01-15,100098,4146.0,9109.0
2024-01-22,105571,4401.0,8567.0
2024-01-29,107922,4295.0,8239.0
2024-02-05,112968,4228.0,8032.0
2024-02-12,108366,4164.0,7855.0
2024-02-19,107566,4232.0,8030.0
2024-02-26,104864,4096.0,7782.0
2024-03-04,94742,3841.0,7312.0
2024-03-11,84963,3484.0,7586.0
2024-03-18,78618,3364.0,7285.0
2024-03-25,73845,3204.0,6781.0
2024-04-01,68526,3120.0,6394.0
2024-04-08,64449,2674.0,5747.0
2024-04-15,57522,2445.0,5818.0
2024-04-22,55413,2416.0,5780.0
2024-04-29,53519,2189.0,5570.0
2024-05-06,50457,2336.0,5257.0
2024-05-13,49254,1993.0,5437.0
2024-05-20,47562,1894.0,5683.0
2024-05-27,44766,1849.0,4879.0
2024-06-03,41248,1760.0,4783.0
2024-06-10,37720,1720.0,4888.0
2024-06-17,35781,1573.0,4374.0
2024-06-24,35208,1615.0,3873.0
2024-07-01,32093,1694.0,3508.0
2024-07-08,34982,1836.0,3809.0
2024-07-15,33474,1855.0,3590.0
2024-07-22,34749,1922.0,3714.0
2024-07-29,34935,2128.0,3805.0
2024-08-05,34912,2452.0,3391.0
2024-08-12,35347,2765.0,3662.0
