date,ILITOTAL,RSV_Region 3_total_patients_total_patients
2020-11-09,22598,933.0
2020-11-16,22709,928.0
2020-11-23,21313,973.0
2020-11-30,22251,1126.0
2020-12-07,22103,1240.0
2020-12-14,20874,995.0
2020-12-21,19836,977.0
2020-12-28,22423,1108.0
2021-01-04,22711,1152.0
2021-01-11,19018,1043.0
2021-01-18,18350,1038.0
2021-01-25,16896,980.0
2021-02-01,16098,1000.0
2021-02-08,14079,801.0
2021-02-15,12591,775.0
2021-02-22,13344,1009.0
2021-03-01,13000,1054.0
2021-03-08,14077,882.0
2021-03-15,14574,1523.0
2021-03-22,15354,1457.0
2021-03-29,15993,1984.0
2021-04-05,18100,1001.0
2021-04-12,19165,1094.0
2021-04-19,19305,990.0
2021-04-26,20099,984.0
2021-05-03,19930,966.0
2021-05-10,20367,850.0
2021-05-17,21262,921.0
2021-05-24,19675,863.0
2021-05-31,20143,895.0
2021-06-07,19182,898.0
2021-06-14,19579,1161.0
2021-06-21,19890,1067.0
2021-06-28,20092,875.0
2021-07-05,22371,889.0
2021-07-12,25261,913.0
2021-07-19,30545,1108.0
2021-07-26,35195,1190.0
2021-08-02,37756,1157.0
2021-08-09,40067,1251.0
2021-08-16,42721,1350.0
2021-08-23,43058,1463.0
2021-08-30,40864,1460.0
2021-09-06,39421,1568.0
2021-09-13,36193,1728.0
2021-09-20,33976,1701.0
2021-09-27,29949,1775.0
2021-10-04,39535,1928.0
2021-10-11,37638,1886.0
2021-10-18,35714,2094.0
2021-10-25,36639,1371.0
2021-11-01,40030,1843.0
2021-11-08,44163,1830.0
2021-11-15,47076,2449.0
2021-11-22,43324,2449.0
2021-11-29,52729,2551.0
2021-12-06,55069,3190.0
2021-12-13,62545,3817.0
2021-12-20,79225,4358.0
2021-12-27,113862,4292.0
2022-01-03,93262,3305.0
2022-01-10,69183,3044.0
2022-01-17,48498,2306.0
2022-01-24,34810,2072.0
2022-01-31,25831,1751.0
2022-02-07,23731,1593.0
2022-02-14,23946,1555.0
2022-02-21,23609,1690.0
2022-02-28,25801,1652.0
2022-03-07,28077,1922.0
2022-03-14,31359,1811.0
2022-03-21,32423,1942.0
2022-03-28,34822,1935.0
2022-04-04,38144,2132.0
2022-04-11,40966,2272.0
2022-04-18,42086,2176.0
2022-04-25,43420,2159.0
2022-05-02,47799,2187.0
2022-05-09,52025,2349.0
2022-05-16,54081,2403.0
2022-05-23,52385,2267.0
2022-05-30,51863,2252.0
2022-06-06,45240,2213.0
2022-06-13,40250,1729.0
2022-06-20,37830,1772.0
2022-06-27,34566,1365.0
2022-07-04,34983,2044.0
2022-07-11,33011,1945.0
2022-07-18,32611,1858.0
2022-07-25,32040,1770.0
2022-08-01,29641,1758.0
2022-08-08,28642,1719.0
2022-08-15,31572,1620.0
2022-08-22,35787,1704.0
2022-08-29,37513,1735.0
2022-09-05,38334,2201.0
2022-09-12,39838,2094.0
2022-09-19,44726,2317.0
2022-09-26,46321,2468.0
2022-10-03,57318,2806.0
2022-10-10,63388,3246.0
2022-10-17,75615,3618.0
2022-10-24,109496,4310.0
2022-10-31,139247,5253.0
2022-11-07,140055,5481.0
2022-11-14,137419,5273.0
2022-11-21,164936,5601.0
2022-11-28,185673,6515.0
2022-12-05,167248,5995.0
2022-12-12,151672,4571.0
2022-12-19,129978,4742.0
2022-12-26,112531,4675.0
2023-01-02,92034,4650.0
2023-01-09,67720,3875.0
2023-01-16,57770,3751.0
2023-01-23,58231,3743.0
2023-01-30,59326,3279.0
2023-02-06,62258,3198.0
2023-02-13,59665,3169.0
2023-02-20,57223,2803.0
2023-02-27,55682,2782.0
2023-03-06,54686,3232.0
2023-03-13,54263,2875.0
2023-03-20,55394,2497.0
2023-03-27,53342,2375.0
2023-04-03,48355,2167.0
2023-04-10,46725,2009.0
2023-04-17,44507,1562.0
2023-04-24,44802,1515.0
2023-05-01,45582,1529.0
2023-05-08,45769,1963.0
2023-05-15,43287,1869.0
2023-05-22,41516,1665.0
2023-05-29,41589,1554.0
2023-06-05,36939,1514.0
2023-06-12,33880,1155.0
2023-06-19,30889,1041.0
2023-06-26,28486,961.0
2023-07-03,26648,1193.0
2023-07-10,25903,1267.0
2023-07-17,25802,1299.0
2023-07-24,26417,1198.0
2023-07-31,26896,1349.0
2023-08-07,29313,1448.0
2023-08-14,33663,1509.0
2023-08-21,40979,1651.0
2023-08-28,44411,2079.0
2023-09-04,44734,2359.0
2023-09-11,45287,2340.0
2023-09-18,48265,2544.0
2023-09-25,49269,2668.0
2023-10-02,56312,2678.0
2023-10-09,57524,2558.0
2023-10-16,62503,2694.0
2023-10-23,67635,2843.0
2023-10-30,72231,2809.0
2023-11-06,85459,3352.0
2023-11-13,90948,3733.0
2023-11-20,85524,3624.0
2023-11-27,103712,4358.0
2023-12-04,114141,4404.0
2023-12-11,135998,4938.0
2023-12-18,163265,5528.0
2023-12-25,166750,6105.0
2024-01-01,143938,5593.0
2024-01-08,118459,5130.0
2024-01-15,100098,4146.0
2024-01-22,105571,4401.0
2024-01-29,107922,4295.0
2024-02-05,112968,4228.0
2024-02-12,108366,4164.0
2024-02-19,107566,4232.0
2024-02-26,104864,4096.0
2024-03-04,94742,3841.0
2024-03-11,84963,3484.0
2024-03-18,78618,3364.0
2024-03-25,73845,3204.0
2024-04-01,68526,3120.0
2024-04-08,64449,2674.0
2024-04-15,57522,2445.0
2024-04-22,55413,2416.0
2024-04-29,53519,2189.0
2024-05-06,50457,2336.0
2024-05-13,49254,1993.0
2024-05-20,47562,1894.0
2024-05-27,44766,1849.0
2024-06-03,41248,1760.0
2024-06-10,37720,1720.0
2024-06-17,35781,1573.0
2024-06-24,35208,1615.0
2024-07-01,32093,1694.0
2024-07-08,34982,1836.0
2024-07-15,33474,1855.0
2024-07-22,34749,1922.0
2024-07-29,34935,2128.0
2024-08-05,34912,2452.0
2024-08-12,35347,2765.0
