date,ILITOTAL
2005-09-26 00:00:00,1204
2005-10-03 00:00:00,3586
2005-10-10 00:00:00,3582
2005-10-17 00:00:00,4122
2005-10-24 00:00:00,4248
2005-10-31 00:00:00,5005
2005-11-07 00:00:00,5038
2005-11-14 00:00:00,5276
2005-11-21 00:00:00,4802
2005-11-28 00:00:00,5966
2005-12-05 00:00:00,6371
2005-12-12 00:00:00,7697
2005-12-19 00:00:00,8577
2005-12-26 00:00:00,8842
2006-01-02 00:00:00,8339
2006-01-09 00:00:00,7882
2006-01-16 00:00:00,7858
2006-01-23 00:00:00,9114
2006-01-30 00:00:00,9551
2006-02-06 00:00:00,10427
2006-02-13 00:00:00,11226
2006-02-20 00:00:00,11901
2006-02-27 00:00:00,11343
2006-03-06 00:00:00,11261
2006-03-13 00:00:00,9322
2006-03-20 00:00:00,8064
2006-03-27 00:00:00,7313
2006-04-03 00:00:00,5738
2006-04-10 00:00:00,4547
2006-04-17 00:00:00,3550
2006-04-24 00:00:00,3177
2006-05-01 00:00:00,2780
2006-05-08 00:00:00,2592
2006-05-15 00:00:00,2428
2006-05-22 00:00:00,2061
2006-05-29 00:00:00,1645
2006-06-05 00:00:00,2075
2006-06-12 00:00:00,1430
2006-06-19 00:00:00,1300
2006-06-26 00:00:00,1271
2006-07-03 00:00:00,1215
2006-07-10 00:00:00,1617
2006-07-17 00:00:00,1553
2006-07-24 00:00:00,1455
2006-07-31 00:00:00,1428
2006-08-07 00:00:00,1373
2006-08-14 00:00:00,1457
2006-08-21 00:00:00,1138
2006-08-28 00:00:00,1224
2006-09-04 00:00:00,1463
2006-09-11 00:00:00,1406
2006-09-18 00:00:00,1487
2006-09-25 00:00:00,1433
2006-10-02 00:00:00,4513
2006-10-09 00:00:00,4072
2006-10-16 00:00:00,4737
2006-10-23 00:00:00,4888
2006-10-30 00:00:00,5380
2006-11-06 00:00:00,6139
2006-11-13 00:00:00,6668
2006-11-20 00:00:00,6156
2006-11-27 00:00:00,7530
2006-12-04 00:00:00,8122
2006-12-11 00:00:00,10396
2006-12-18 00:00:00,10192
2006-12-25 00:00:00,8913
2007-01-01 00:00:00,8386
2007-01-08 00:00:00,7761
2007-01-15 00:00:00,7909
2007-01-22 00:00:00,10888
2007-01-29 00:00:00,12120
2007-02-05 00:00:00,14197
2007-02-12 00:00:00,14031
2007-02-19 00:00:00,14048
2007-02-26 00:00:00,11801
2007-03-05 00:00:00,10715
2007-03-12 00:00:00,9597
2007-03-19 00:00:00,7562
2007-03-26 00:00:00,6148
2007-04-02 00:00:00,4958
2007-04-09 00:00:00,4869
2007-04-16 00:00:00,4179
2007-04-23 00:00:00,3695
2007-04-30 00:00:00,3077
2007-05-07 00:00:00,2860
2007-05-14 00:00:00,2442
2007-05-21 00:00:00,2243
2007-05-28 00:00:00,2058
2007-06-04 00:00:00,1679
2007-06-11 00:00:00,1614
2007-06-18 00:00:00,1456
2007-06-25 00:00:00,1455
2007-07-02 00:00:00,1169
2007-07-09 00:00:00,1086
2007-07-16 00:00:00,1211
2007-07-23 00:00:00,1356
2007-07-30 00:00:00,1037
2007-08-06 00:00:00,1172
2007-08-13 00:00:00,1283
2007-08-20 00:00:00,1448
2007-08-27 00:00:00,1526
2007-09-03 00:00:00,1554
2007-09-10 00:00:00,1694
2007-09-17 00:00:00,1913
2007-09-24 00:00:00,2228
2007-10-01 00:00:00,5641
2007-10-08 00:00:00,6444
2007-10-15 00:00:00,6941
2007-10-22 00:00:00,7434
2007-10-29 00:00:00,7915
2007-11-05 00:00:00,8687
2007-11-12 00:00:00,9104
2007-11-19 00:00:00,8570
2007-11-26 00:00:00,9171
2007-12-03 00:00:00,8436
2007-12-10 00:00:00,8091
2007-12-17 00:00:00,8750
2007-12-24 00:00:00,8902
2007-12-31 00:00:00,9706
2008-01-07 00:00:00,11115
2008-01-14 00:00:00,12197
2008-01-21 00:00:00,17171
2008-01-28 00:00:00,24812
2008-02-04 00:00:00,31896
2008-02-11 00:00:00,31625
2008-02-18 00:00:00,30245
2008-02-25 00:00:00,25027
2008-03-03 00:00:00,20254
2008-03-10 00:00:00,16714
2008-03-17 00:00:00,13040
2008-03-24 00:00:00,10376
2008-03-31 00:00:00,8583
2008-04-07 00:00:00,7045
2008-04-14 00:00:00,6079
2008-04-21 00:00:00,4953
2008-04-28 00:00:00,4224
2008-05-05 00:00:00,4011
2008-05-12 00:00:00,3904
2008-05-19 00:00:00,3646
2008-05-26 00:00:00,3803
2008-06-02 00:00:00,2933
2008-06-09 00:00:00,2906
2008-06-16 00:00:00,2842
2008-06-23 00:00:00,2534
2008-06-30 00:00:00,2405
2008-07-07 00:00:00,2431
2008-07-14 00:00:00,2319
2008-07-21 00:00:00,2166
2008-07-28 00:00:00,2289
2008-08-04 00:00:00,2220
2008-08-11 00:00:00,2368
2008-08-18 00:00:00,2237
2008-08-25 00:00:00,2429
2008-09-01 00:00:00,2461
2008-09-08 00:00:00,2788
2008-09-15 00:00:00,3735
2008-09-22 00:00:00,3400
2008-09-29 00:00:00,5687
2008-10-06 00:00:00,5959
2008-10-13 00:00:00,5896
2008-10-20 00:00:00,6485
2008-10-27 00:00:00,6987
2008-11-03 00:00:00,7297
2008-11-10 00:00:00,7667
2008-11-17 00:00:00,7733
2008-11-24 00:00:00,7634
2008-12-01 00:00:00,8708
2008-12-08 00:00:00,8689
2008-12-15 00:00:00,7812
2008-12-22 00:00:00,8706
2008-12-29 00:00:00,8603
2009-01-05 00:00:00,8956
2009-01-12 00:00:00,9289
2009-01-19 00:00:00,11456
2009-01-26 00:00:00,14324
2009-02-02 00:00:00,18268
2009-02-09 00:00:00,21667
2009-02-16 00:00:00,20022
2009-02-23 00:00:00,20450
2009-03-02 00:00:00,18441
2009-03-09 00:00:00,15711
2009-03-16 00:00:00,13277
2009-03-23 00:00:00,11400
2009-03-30 00:00:00,9669
2009-04-06 00:00:00,8460
2009-04-13 00:00:00,7222
2009-04-20 00:00:00,7348
2009-04-27 00:00:00,18627
2009-05-04 00:00:00,14578
2009-05-11 00:00:00,12554
2009-05-18 00:00:00,20774
2009-05-25 00:00:00,22394
2009-06-01 00:00:00,17105
2009-06-08 00:00:00,12392
2009-06-15 00:00:00,10780
2009-06-22 00:00:00,8801
2009-06-29 00:00:00,7422
2009-07-06 00:00:00,6290
2009-07-13 00:00:00,5964
2009-07-20 00:00:00,5735
2009-07-27 00:00:00,5587
2009-08-03 00:00:00,5526
2009-08-10 00:00:00,5877
2009-08-17 00:00:00,8941
2009-08-24 00:00:00,14556
2009-08-31 00:00:00,21350
2009-09-07 00:00:00,22561
2009-09-14 00:00:00,26091
2009-09-21 00:00:00,24454
2009-09-28 00:00:00,27919
2009-10-05 00:00:00,48420
2009-10-12 00:00:00,58196
2009-10-19 00:00:00,69068
2009-10-26 00:00:00,66411
2009-11-02 00:00:00,57017
2009-11-09 00:00:00,42729
2009-11-16 00:00:00,32520
2009-11-23 00:00:00,22508
2009-11-30 00:00:00,21730
2009-12-07 00:00:00,19325
2009-12-14 00:00:00,17081
2009-12-21 00:00:00,14575
2009-12-28 00:00:00,15613
2010-01-04 00:00:00,14299
2010-01-11 00:00:00,14088
2010-01-18 00:00:00,14757
2010-01-25 00:00:00,15122
2010-02-01 00:00:00,16037
2010-02-08 00:00:00,15381
2010-02-15 00:00:00,15065
2010-02-22 00:00:00,16087
2010-03-01 00:00:00,14486
2010-03-08 00:00:00,14354
2010-03-15 00:00:00,12601
2010-03-22 00:00:00,11191
2010-03-29 00:00:00,10359
2010-04-05 00:00:00,8813
2010-04-12 00:00:00,8801
2010-04-19 00:00:00,8362
2010-04-26 00:00:00,8440
2010-05-03 00:00:00,7914
2010-05-10 00:00:00,7697
2010-05-17 00:00:00,7603
2010-05-24 00:00:00,6853
2010-05-31 00:00:00,6595
2010-06-07 00:00:00,5755
2010-06-14 00:00:00,5316
2010-06-21 00:00:00,5334
2010-06-28 00:00:00,4718
2010-07-05 00:00:00,4691
2010-07-12 00:00:00,4234
2010-07-19 00:00:00,3950
2010-07-26 00:00:00,3850
2010-08-02 00:00:00,4077
2010-08-09 00:00:00,4008
2010-08-16 00:00:00,4518
2010-08-23 00:00:00,4420
2010-08-30 00:00:00,5007
2010-09-06 00:00:00,5493
2010-09-13 00:00:00,5510
2010-09-20 00:00:00,6741
2010-09-27 00:00:00,6387
2010-10-04 00:00:00,8473
2010-10-11 00:00:00,9347
2010-10-18 00:00:00,9684
2010-10-25 00:00:00,9904
2010-11-01 00:00:00,11020
2010-11-08 00:00:00,11807
2010-11-15 00:00:00,13336
2010-11-22 00:00:00,12079
2010-11-29 00:00:00,13997
2010-12-06 00:00:00,14958
2010-12-13 00:00:00,18022
2010-12-20 00:00:00,19899
2010-12-27 00:00:00,20346
2011-01-03 00:00:00,20026
2011-01-10 00:00:00,20721
2011-01-17 00:00:00,26257
2011-01-24 00:00:00,31975
2011-01-31 00:00:00,34284
2011-02-07 00:00:00,34456
2011-02-14 00:00:00,36567
2011-02-21 00:00:00,31277
2011-02-28 00:00:00,24627
2011-03-07 00:00:00,20377
2011-03-14 00:00:00,17309
2011-03-21 00:00:00,14031
2011-03-28 00:00:00,12957
2011-04-04 00:00:00,11498
2011-04-11 00:00:00,9391
2011-04-18 00:00:00,8695
2011-04-25 00:00:00,7830
2011-05-02 00:00:00,7307
2011-05-09 00:00:00,7236
2011-05-16 00:00:00,6530
2011-05-23 00:00:00,6072
2011-05-30 00:00:00,5946
2011-06-06 00:00:00,5547
2011-06-13 00:00:00,4989
2011-06-20 00:00:00,4448
2011-06-27 00:00:00,4218
2011-07-04 00:00:00,4009
2011-07-11 00:00:00,3721
2011-07-18 00:00:00,3597
2011-07-25 00:00:00,3538
2011-08-01 00:00:00,3202
2011-08-08 00:00:00,3523
2011-08-15 00:00:00,3874
2011-08-22 00:00:00,4444
2011-08-29 00:00:00,4717
2011-09-05 00:00:00,4813
2011-09-12 00:00:00,5567
2011-09-19 00:00:00,5822
2011-09-26 00:00:00,6708
2011-10-03 00:00:00,9365
2011-10-10 00:00:00,9803
2011-10-17 00:00:00,9958
2011-10-24 00:00:00,10298
2011-10-31 00:00:00,11396
2011-11-07 00:00:00,11496
2011-11-14 00:00:00,11721
2011-11-21 00:00:00,10377
2011-11-28 00:00:00,11479
2011-12-05 00:00:00,11187
2011-12-12 00:00:00,12137
2011-12-19 00:00:00,11958
2011-12-26 00:00:00,12356
2012-01-02 00:00:00,11992
2012-01-09 00:00:00,11543
2012-01-16 00:00:00,11939
2012-01-23 00:00:00,13209
2012-01-30 00:00:00,14448
2012-02-06 00:00:00,14624
2012-02-13 00:00:00,15929
2012-02-20 00:00:00,16137
2012-02-27 00:00:00,16518
2012-03-05 00:00:00,15763
2012-03-12 00:00:00,17150
2012-03-19 00:00:00,14524
2012-03-26 00:00:00,13017
2012-04-02 00:00:00,11930
2012-04-09 00:00:00,10732
2012-04-16 00:00:00,10123
2012-04-23 00:00:00,9370
2012-04-30 00:00:00,8999
2012-05-07 00:00:00,8576
2012-05-14 00:00:00,8062
2012-05-21 00:00:00,7878
2012-05-28 00:00:00,7153
2012-06-04 00:00:00,6765
2012-06-11 00:00:00,6133
2012-06-18 00:00:00,6048
2012-06-25 00:00:00,5786
2012-07-02 00:00:00,5291
2012-07-09 00:00:00,5185
2012-07-16 00:00:00,4931
2012-07-23 00:00:00,5103
2012-07-30 00:00:00,5159
2012-08-06 00:00:00,5026
2012-08-13 00:00:00,5051
2012-08-20 00:00:00,6141
2012-08-27 00:00:00,6318
2012-09-03 00:00:00,6296
2012-09-10 00:00:00,7382
2012-09-17 00:00:00,7656
2012-09-24 00:00:00,7807
2012-10-01 00:00:00,9395
2012-10-08 00:00:00,10158
2012-10-15 00:00:00,10585
2012-10-22 00:00:00,10913
2012-10-29 00:00:00,11061
2012-11-05 00:00:00,12674
2012-11-12 00:00:00,13623
2012-11-19 00:00:00,14650
2012-11-26 00:00:00,18521
2012-12-03 00:00:00,24877
2012-12-10 00:00:00,29432
2012-12-17 00:00:00,34332
2012-12-24 00:00:00,36588
2012-12-31 00:00:00,34103
2013-01-07 00:00:00,39896
2013-01-14 00:00:00,39441
2013-01-21 00:00:00,32426
2013-01-28 00:00:00,29808
2013-02-04 00:00:00,24987
2013-02-11 00:00:00,22321
2013-02-18 00:00:00,20519
2013-02-25 00:00:00,19231
2013-03-04 00:00:00,18829
2013-03-11 00:00:00,17392
2013-03-18 00:00:00,15254
2013-03-25 00:00:00,13714
2013-04-01 00:00:00,12273
2013-04-08 00:00:00,10818
2013-04-15 00:00:00,9188
2013-04-22 00:00:00,8589
2013-04-29 00:00:00,7986
2013-05-06 00:00:00,7704
2013-05-13 00:00:00,7317
2013-05-20 00:00:00,6589
2013-05-27 00:00:00,6190
2013-06-03 00:00:00,5638
2013-06-10 00:00:00,5539
2013-06-17 00:00:00,5474
2013-06-24 00:00:00,4915
2013-07-01 00:00:00,4506
2013-07-08 00:00:00,4510
2013-07-15 00:00:00,4186
2013-07-22 00:00:00,4233
2013-07-29 00:00:00,3886
2013-08-05 00:00:00,4075
2013-08-12 00:00:00,4168
2013-08-19 00:00:00,4317
2013-08-26 00:00:00,5053
2013-09-02 00:00:00,5626
2013-09-09 00:00:00,6374
2013-09-16 00:00:00,7110
2013-09-23 00:00:00,7963
2013-09-30 00:00:00,9677
2013-10-07 00:00:00,10420
2013-10-14 00:00:00,10658
2013-10-21 00:00:00,12036
2013-10-28 00:00:00,12502
2013-11-04 00:00:00,13498
2013-11-11 00:00:00,13927
2013-11-18 00:00:00,15168
2013-11-25 00:00:00,13975
2013-12-02 00:00:00,18920
2013-12-09 00:00:00,19398
2013-12-16 00:00:00,24697
2013-12-23 00:00:00,26988
2013-12-30 00:00:00,28654
2014-01-06 00:00:00,28147
2014-01-13 00:00:00,28370
2014-01-20 00:00:00,25502
2014-01-27 00:00:00,23484
2014-02-03 00:00:00,21085
2014-02-10 00:00:00,18195
2014-02-17 00:00:00,17234
2014-02-24 00:00:00,15914
2014-03-03 00:00:00,15044
2014-03-10 00:00:00,14024
2014-03-17 00:00:00,14926
2014-03-24 00:00:00,14661
2014-03-31 00:00:00,14637
2014-04-07 00:00:00,14206
2014-04-14 00:00:00,11723
2014-04-21 00:00:00,10814
2014-04-28 00:00:00,9648
2014-05-05 00:00:00,9775
2014-05-12 00:00:00,9033
2014-05-19 00:00:00,8797
2014-05-26 00:00:00,7658
2014-06-02 00:00:00,7229
2014-06-09 00:00:00,6783
2014-06-16 00:00:00,6369
2014-06-23 00:00:00,6038
2014-06-30 00:00:00,5352
2014-07-07 00:00:00,5295
2014-07-14 00:00:00,5083
2014-07-21 00:00:00,4765
2014-07-28 00:00:00,4942
2014-08-04 00:00:00,4744
2014-08-11 00:00:00,4980
2014-08-18 00:00:00,5305
2014-08-25 00:00:00,5799
2014-09-01 00:00:00,6050
2014-09-08 00:00:00,8130
2014-09-15 00:00:00,8888
2014-09-22 00:00:00,8874
2014-09-29 00:00:00,10150
2014-10-06 00:00:00,10977
2014-10-13 00:00:00,11941
2014-10-20 00:00:00,12292
2014-10-27 00:00:00,12313
2014-11-03 00:00:00,13853
2014-11-10 00:00:00,14062
2014-11-17 00:00:00,16674
2014-11-24 00:00:00,17602
2014-12-01 00:00:00,22905
2014-12-08 00:00:00,29172
2014-12-15 00:00:00,37382
2014-12-22 00:00:00,40533
2014-12-29 00:00:00,36891
2015-01-05 00:00:00,31483
2015-01-12 00:00:00,31204
2015-01-19 00:00:00,33221
2015-01-26 00:00:00,30621
2015-02-02 00:00:00,28151
2015-02-09 00:00:00,25218
2015-02-16 00:00:00,21109
2015-02-23 00:00:00,19178
2015-03-02 00:00:00,18441
2015-03-09 00:00:00,17833
2015-03-16 00:00:00,16695
2015-03-23 00:00:00,16122
2015-03-30 00:00:00,14975
2015-04-06 00:00:00,13733
2015-04-13 00:00:00,12044
2015-04-20 00:00:00,10860
2015-04-27 00:00:00,11095
2015-05-04 00:00:00,10694
2015-05-11 00:00:00,9671
2015-05-18 00:00:00,9024
2015-05-25 00:00:00,7913
2015-06-01 00:00:00,6946
2015-06-08 00:00:00,6744
2015-06-15 00:00:00,5850
2015-06-22 00:00:00,5913
2015-06-29 00:00:00,5232
2015-07-06 00:00:00,5116
2015-07-13 00:00:00,4870
2015-07-20 00:00:00,4626
2015-07-27 00:00:00,4605
2015-08-03 00:00:00,4753
2015-08-10 00:00:00,4750
2015-08-17 00:00:00,5173
2015-08-24 00:00:00,5648
2015-08-31 00:00:00,5963
2015-09-07 00:00:00,5970
2015-09-14 00:00:00,7062
2015-09-21 00:00:00,7704
2015-09-28 00:00:00,7626
2015-10-05 00:00:00,10049
2015-10-12 00:00:00,10715
2015-10-19 00:00:00,11584
2015-10-26 00:00:00,11164
2015-11-02 00:00:00,12423
2015-11-09 00:00:00,12676
2015-11-16 00:00:00,13484
2015-11-23 00:00:00,12158
2015-11-30 00:00:00,14617
2015-12-07 00:00:00,14986
2015-12-14 00:00:00,15396
2015-12-21 00:00:00,14839
2015-12-28 00:00:00,15679
2016-01-04 00:00:00,15654
2016-01-11 00:00:00,15517
2016-01-18 00:00:00,15661
2016-01-25 00:00:00,18143
2016-02-01 00:00:00,18944
2016-02-08 00:00:00,21774
2016-02-15 00:00:00,24681
2016-02-22 00:00:00,26423
2016-02-29 00:00:00,28468
2016-03-07 00:00:00,30481
2016-03-14 00:00:00,24894
2016-03-21 00:00:00,21940
2016-03-28 00:00:00,19603
2016-04-04 00:00:00,16769
2016-04-11 00:00:00,16261
2016-04-18 00:00:00,15437
2016-04-25 00:00:00,13836
2016-05-02 00:00:00,11870
2016-05-09 00:00:00,10707
2016-05-16 00:00:00,9798
2016-05-23 00:00:00,8787
2016-05-30 00:00:00,7997
2016-06-06 00:00:00,7201
2016-06-13 00:00:00,6768
2016-06-20 00:00:00,6024
2016-06-27 00:00:00,5686
2016-07-04 00:00:00,5118
2016-07-11 00:00:00,5078
2016-07-18 00:00:00,5044
2016-07-25 00:00:00,4925
2016-08-01 00:00:00,4596
2016-08-08 00:00:00,4868
2016-08-15 00:00:00,5265
2016-08-22 00:00:00,6260
2016-08-29 00:00:00,6504
2016-09-05 00:00:00,6623
2016-09-12 00:00:00,7639
2016-09-19 00:00:00,8229
2016-09-26 00:00:00,8505
2016-10-03 00:00:00,10864
2016-10-10 00:00:00,10997
2016-10-17 00:00:00,11926
2016-10-24 00:00:00,12648
2016-10-31 00:00:00,13790
2016-11-07 00:00:00,14258
2016-11-14 00:00:00,15160
2016-11-21 00:00:00,14208
2016-11-28 00:00:00,16605
2016-12-05 00:00:00,16961
2016-12-12 00:00:00,18463
2016-12-19 00:00:00,21565
2016-12-26 00:00:00,24900
2017-01-02 00:00:00,24178
2017-01-09 00:00:00,24897
2017-01-16 00:00:00,28781
2017-01-23 00:00:00,31265
2017-01-30 00:00:00,36517
2017-02-06 00:00:00,42890
2017-02-13 00:00:00,41035
2017-02-20 00:00:00,40124
2017-02-27 00:00:00,30183
2017-03-06 00:00:00,28060
2017-03-13 00:00:00,25484
2017-03-20 00:00:00,27354
2017-03-27 00:00:00,24342
2017-04-03 00:00:00,19677
2017-04-10 00:00:00,15548
2017-04-17 00:00:00,13006
2017-04-24 00:00:00,11924
2017-05-01 00:00:00,10762
2017-05-08 00:00:00,10202
2017-05-15 00:00:00,9809
2017-05-22 00:00:00,8564
2017-05-29 00:00:00,7756
2017-06-05 00:00:00,7510
2017-06-12 00:00:00,6636
2017-06-19 00:00:00,6240
2017-06-26 00:00:00,5596
2017-07-03 00:00:00,5326
2017-07-10 00:00:00,4961
2017-07-17 00:00:00,4747
2017-07-24 00:00:00,4879
2017-07-31 00:00:00,4899
2017-08-07 00:00:00,4915
2017-08-14 00:00:00,5230
2017-08-21 00:00:00,6653
2017-08-28 00:00:00,7133
2017-09-04 00:00:00,7072
2017-09-11 00:00:00,8304
2017-09-18 00:00:00,8563
2017-09-25 00:00:00,9079
2017-10-02 00:00:00,12830
2017-10-09 00:00:00,13269
2017-10-16 00:00:00,14319
2017-10-23 00:00:00,15826
2017-10-30 00:00:00,17068
2017-11-06 00:00:00,18994
2017-11-13 00:00:00,21615
2017-11-20 00:00:00,19817
2017-11-27 00:00:00,23755
2017-12-04 00:00:00,24979
2017-12-11 00:00:00,31533
2017-12-18 00:00:00,42664
2017-12-25 00:00:00,44986
2018-01-01 00:00:00,47282
2018-01-08 00:00:00,56922
2018-01-15 00:00:00,62937
2018-01-22 00:00:00,77468
2018-01-29 00:00:00,86095
2018-02-05 00:00:00,87646
2018-02-12 00:00:00,75987
2018-02-19 00:00:00,52961
2018-02-26 00:00:00,35932
2018-03-05 00:00:00,29109
2018-03-12 00:00:00,25928
2018-03-19 00:00:00,23785
2018-03-26 00:00:00,20696
2018-04-02 00:00:00,19067
2018-04-09 00:00:00,16672
2018-04-16 00:00:00,14892
2018-04-23 00:00:00,14572
2018-04-30 00:00:00,13273
2018-05-07 00:00:00,11617
2018-05-14 00:00:00,11067
2018-05-21 00:00:00,10646
2018-05-28 00:00:00,9608
2018-06-04 00:00:00,8688
2018-06-11 00:00:00,7570
2018-06-18 00:00:00,7374
2018-06-25 00:00:00,6932
2018-07-02 00:00:00,6249
2018-07-09 00:00:00,6502
2018-07-16 00:00:00,5786
2018-07-23 00:00:00,5496
2018-07-30 00:00:00,5617
2018-08-06 00:00:00,5864
2018-08-13 00:00:00,6542
2018-08-20 00:00:00,7309
2018-08-27 00:00:00,8117
2018-09-03 00:00:00,9536
2018-09-10 00:00:00,10063
2018-09-17 00:00:00,11190
2018-09-24 00:00:00,11714
2018-10-01 00:00:00,17839
2018-10-08 00:00:00,18561
2018-10-15 00:00:00,19930
2018-10-22 00:00:00,21616
2018-10-29 00:00:00,23154
2018-11-05 00:00:00,24073
2018-11-12 00:00:00,24347
2018-11-19 00:00:00,24612
2018-11-26 00:00:00,29080
2018-12-03 00:00:00,28356
2018-12-10 00:00:00,33098
2018-12-17 00:00:00,38236
2018-12-24 00:00:00,43904
2018-12-31 00:00:00,42094
2019-01-07 00:00:00,38752
2019-01-14 00:00:00,41109
2019-01-21 00:00:00,46113
2019-01-28 00:00:00,55187
2019-02-04 00:00:00,69442
2019-02-11 00:00:00,69978
2019-02-18 00:00:00,66345
2019-02-25 00:00:00,58735
2019-03-04 00:00:00,55348
2019-03-11 00:00:00,53133
2019-03-18 00:00:00,44786
2019-03-25 00:00:00,37844
2019-04-01 00:00:00,32905
2019-04-08 00:00:00,27803
2019-04-15 00:00:00,23122
2019-04-22 00:00:00,20583
2019-04-29 00:00:00,18848
2019-05-06 00:00:00,17096
2019-05-13 00:00:00,16349
2019-05-20 00:00:00,15747
2019-05-27 00:00:00,14770
2019-06-03 00:00:00,13433
2019-06-10 00:00:00,11618
2019-06-17 00:00:00,10678
2019-06-24 00:00:00,9986
2019-07-01 00:00:00,8549
2019-07-08 00:00:00,8422
